"STATUS" :3972,
"Angry Mob" :1,
"Furious Man" :1,
"Distraught Lady" :1,
"Disillusioned Lord" :1,
"Female Citizen" :1,
"Male Citizen" :1,
"Totoruna" :1,
"Rosa Hawthorne" :1,
"Ishgardian Banneret" :1,
"Yellowjacketb" :1,
"Yellowjacketa" :1,
"Glazrael" :1,
"Convocation Member" :1,
"Light Purple Crystal" :1,
"Scarlet Crystal" :1,
"Pink Crystal" :1,
"Colorless Crystal" :1,
"Sky Blue Crystal" :1,
"Turquoise Crystal" :1,
"Blue Crystal" :1,
"Purple Crystal" :1,
"Pale Green Crystal" :1,
"Grey Crystal" :1,
"Green Crystal" :1,
"Yellow Crystal" :1,
"Crimson Crystal" :1,
"Screaming Man" :1,
"Liberation Front Sentry" :1,
"Fearful Citizen" :1,
"Osha Jaab" :1,
"Loyal Scrag B" :1,
"Disreputable Pirate" :1,
"Inquisition Guard" :1,
"Amalberga" :1,
"Bothered Bowman" :1,
"Dyspeptic Dragoon" :1,
"Tenterhooked Temple Knight" :1,
"Trembling Temple Knight" :1,
"Ephemeral Voice" :1,
"Amalj'aa Warrior" :1,
"Lunar Ifrit" :1,
"Dellexia" :1,
"Ameexia" :1,
"Bewildered Man" :1,
"Terrified Man" :1,
"Debt Collector" :1,
"Bertennant" :1,
"Yayake" :1,
"Gagaruna" :1,
"Jillian" :1,
"Lulutsu" :1,
"Madelle" :1,
"Athelyna" :1,
"Murie" :1,
"1st Maniple Centurion" :1,
"Gatetown Residents" :1,
"Luciae" :1,
"Claxio" :1,
"Vesper Bay Shopkeep" :1,
"Distressed Ancient One" :1,
"Blackmarketeer" :1,
"Sentry" :1,
"Spell-weaving Heretic" :1,
"Simeonard of the Holiest Flame" :1,
"Alys" :1,
"Wandering Minstrel" :1,
"Notrelchamps" :1,
"Tescelingeon" :1,
"Vaincannet" :1,
"Gondelimbaud" :1,
"Quomonrentin" :1,
"Ragged Refugee" :1,
"Imperial Sentry" :1,
"Eulmoran Soldier" :1,
"Blithesome Businessman" :1,
"Flustered Temple Knight" :1,
"Tsubh Khamazom" :1,
"Vanu Elder" :1,
"Chief Honu Vanu" :1,
"Imperial Magitek Engineer" :1,
"Namai Farmhand" :1,
"Black-robed Ascian" :1,
"Seeker of Solitude" :1,
"Cibleroit" :1,
"Gnath Storyteller" :1,
"Meriel" :1,
"Spotted Meadow" :1,
"Kikipu" :1,
"Danyell" :1,
"Unknown Ravager" :1,
"Glassy-eyed Resident" :1,
"Vondia" :1,
"Shoebill" :1,
"Crystal Braves" :1,
"Resistance Captain" :1
