QuestName,Level,Scenario,XP,Gil,femaleWords,maleWords
By the Lights of Ishgard,Lv. 40,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,21560,NA,0,239
Call of the Desert,Lv. 16,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6000,197,107,0
Call of the Forest,Lv. 15,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5760,239,132,0
Call of the Sea (Gridania),Lv. 15,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5760,286,0,478
Call of the Sea (Ul'dah),Lv. 15,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5760,286,0,446
Camp of the Convictors,Lv. 51,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,47580,438,43,517
Casing the Castrum,Lv. 44,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,23320,1646,219,329
Causes and Costs,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1200,191,641
Chasing Ivy,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,658,56,254
Chasing Shadows,Lv. 5,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,1400,132,332,857
Chimerical Maintenance,Lv. 59,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53820,833,77,159
Choices,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1087,329,2093
City of Final Pleasures,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1590,625,968
City of the Ancients,Lv. 79,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,228960,968,810,0
City of the First,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,825,453,2034
City of the Mord,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,825,0,186
Close Encounters of the VIth Kind,Lv. 59,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53820,994,103,416
Close to Home (ACN),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,439,1959
Close to Home (ARC),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,841,417
Close to Home (CNJ),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,824,417
Close to Home (GLA),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,787,797
Close to Home (LNC),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,719,417
Close to Home (MRD),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,960,1967
Close to Home (PGL),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,564,1096
Close to Home (THM),Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,107,847,797
Cold Reception,Lv. 36,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,17100,NA,0,261
"Come, but Not Gone",Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,869,469,211
Come-Into-My-Castrum,Lv. 44,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,23320,NA,112,348
Come Highly Recommended,Lv. 27,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,10080,260,0,187
Coming to Gridania,Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,103,751,133
Coming to Ishgard,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,799,58,814
Coming to Limsa Lominsa,Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,103,144,1976
Coming to Terms,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,901,167,1000
Coming to Ul'dah,Lv. 1,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,400,103,1328,309
Committed to the Cause,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,517,0,62
Confederate Consternation,Lv. 62,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,102000,829,661,609
Conscripts and Contingencies,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1313,416,1690
Consequences,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,680,229,722
Courting Cooperation,Lv. 72,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,218880,1126,78,524
Crossing the Velodyna,Lv. 61,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,101000,589,628,916
Crossroads,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,1109,882,171
Culling Their Ranks,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,679,522,0
Dance Dance Diplomacy,Lv. 21,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7200,1109,334,0
"Dark Words, Dark Deeds",Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,517,11,583
Daughter of the Deep,Lv. 64,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,104000,1189,157,76
Death Unto Dawn,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,NA,1300,2819
Death by a Thousand Rocks,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,615,0,455
Deep Designs,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1314,467,880
Defenders for Ishgard,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,617,562,339
Desperate Times,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,517,101,1248
Devourer of Worlds,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,564,0,598
Disclosure,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,714,56,1221
Divide and Conquer,Lv. 61,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,101000,754,192,620
Divine Intervention,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,1080,78,1417
Do Angry Pirates Dream,Lv. 13,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5280,220,453,150
Don't Look Down,Lv. 11,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,4000,191,128,112
Double Dealing,Lv. 8,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,2720,179,0,337
Down for Maintenance,Lv. 76,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,224640,791,11,640
Dread Is in the Air,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,230,102,210
Dreams of the Lost,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,974,707,538
Dressed for Conquest,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25300,NA,0,603
Dressed to Call,Lv. 5,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,1400,161,0,191
Dressed to Deceive,Lv. 19,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6720,453,197,1228
Drowning Out the Voices,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25300,353,0,210
Druthers House Rules,Lv. 22,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7440,1109,0,278
"Duty, Honor, Country",Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,220,289,1478
Echoes of a Fallen Star,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,4500,289,2387
Echoes of an Echo,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,898,469,795
Eggs over Queasy,Lv. 7,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,2240,151,0,271
Elation and Trepidation,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1276,493,795
Emergent Splendor,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,934,325,898
Emissary of the Dawn,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,2000,565,800
Escape from Castrum Centri,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25300,3313,65,1978
Etched in the Stars,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,NA,162,911
Every Little Thing She Does Is Magitek,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25300,3313,120,1199
Extinguishing the Last Light,Lv. 79,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,228960,7632,573,2063
Eyes Unclouded,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,760,0,222
Eyes on Me,Lv. 35,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,15840,NA,0,195
Eyes on the Empire,Lv. 44,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,23320,1646,0,283
Facing the Truth,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1165,643,2299
Factual Folklore,Lv. 39,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,20160,NA,126,596
Faded Memories,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,2970,565,2018
Familiar Faces,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,595,0,328
Feel the Burn,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,4265,286,277
Feint and Strike,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,220,13,526
Festive Endeavors,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,230,477,205
Fetters of Lament,Lv. 59,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53820,705,416,259
Finding Good Help,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1055,73,1123
Fire and Blood,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,939,668,576
Fire in the Gloom,Lv. 16,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6000,NA,874,919
First Blood,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,658,0,442
First Contact,Lv. 21,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7200,1109,57,667
First Impressions (MSQ),Lv. 20,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6960,1245,135,214
Flame General Affairs,Lv. 51,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,47580,1607,749,578
"Fly Free, My Pretty",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,615,268,332
Following Footfalls,Lv. 13,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5280,204,0,149
Following in Her Footprints,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1007,191,0
Following the Evidence,Lv. 38,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,18800,1544,84,645
Food for the Soul,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1894,811,1408
Fool Me Twice,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25850,3313,58,808
Foot in the Door,Lv. 25,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,8160,NA,157,0
Footprints in the Snow,Lv. 44,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,23320,1756,75,374
For Love of the Moon,Lv. 66,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,106000,934,14,865
For Those We Can Yet Save,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1087,355,1566
For Those We Have Lost,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,810,614,802
For Vengeance,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,NA,628,918
For the Children,Lv. 19,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6720,250,58,195
For the Greater Good,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,799,391,1471
For the Living and the Dead,Lv. 68,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,108000,595,381,548
For the People,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1339,0,2615
Forbidden Knowledge,Lv. 59,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53820,5000,776,230
Forest Friend,Lv. 21,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7200,1285,164,219
Forever and Ever Apart,Lv. 63,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,103000,703,335,304
Forget Us Not,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,NA,485,414
Fraying Threads,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,2014,734,490
Free Trade,Lv. 76,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,224640,753,100,532
Free to Sightsee,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,715,388,375
From One Heretic to Another,Lv. 51,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,47580,438,0,292
From on High,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,517,136,210
Fruits of Her Labor,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1262,247,379
Full Steam Ahead,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,2240,366,1314
"Future Rust, Future Dust",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,550,107,500
Futures Rewritten,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,4500,679,776
Getting Even with Garlemald,Lv. 44,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,23320,2090,0,360
Gifts for the Outcasts,Lv. 52,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,48360,560,130,557
Give It to Me Raw,Lv. 10,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,3420,NA,0,189
Give a Man a Drink,Lv. 33,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,14280,NA,0,303
Glory to the Khagan,Lv. 66,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,106000,760,740,660
Golems Begone,Lv. 58,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53040,507,122,165
Gone Like the Morning Dew,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,970,56,383
Good Intentions,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,802,38,555
Good for the Soul,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1407,649,633
Gosetsu and Tsuyu,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1277,119,171
"Griffin, Griffin on the Wall",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,5000,862,964
Guardian of Eorzea,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,1220,1005,1798
"Hail to the King, Kupo",Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,939,617,577
Hard Country,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,583,347,0
Have a Heart,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,992,132,1135
He Ain't Heavy,Lv. 27,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,10080,NA,117,181
He Who Waited Behind,Lv. 36,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,17100,1544,0,427
He Who Would Not Be Denied,Lv. 56,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,51480,712,292,803
Heart of Ice,Lv. 54,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49920,755,147,1312
Hearts on Fire,Lv. 49,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,27840,1646,52,489
Heavens Weep,Lv. 68,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,108000,500,111,496
Heavensward (Quest),Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,5000,10000,447,1948
"Heir Today, Gone Tomorrow",Lv. 12,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,4620,NA,0,217
Hells Open,Lv. 68,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,108000,595,198,0
Helping Horn,Lv. 27,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,10080,NA,0,523
Here Be Dragons,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,NA,347,547
