id,name,levelobjectid,charactername,gender,characterdescription,speechpattern,accent,race,appearance,characterarchetype,charactertype,ttsvoice,subcharacters,voices,agerange,isplayer,voeligible,member
11ea9712-7959-a999-c995-f0c15b8599a0,,TheDales/TheDales_Main/dal_wild_main_gaspard_soldier_02,,Footsoldier Appell,Male,A soldier for Gaspard (or whoever rules post-Halamshiral).,,French,Human,,,Minor,Tyler22k_HQ,,,1E,False,True,
a940b441-3bfe-8fce-4233-02e7dd4c99e7,,TheDales/Main/td_wild_main_camp_gaspard_guardmale_01,,Chevalier Archet,Male,One of Duke Gaspard's guards,Guard on edge in the middle of a civil war,French,Human,Duke Gaspard's colours,,Minor,,,,2A,False,True,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_gaspard_soldier_04 [e1eeeea7-c849-4fce-85cf-676d865bc966,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_celene_soldier_07 [6eb63512-9dad-4fd6-b514-4714fbbfb698,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_celene_soldier_06 [37ca0b34-e71a-a78c-c1bf-5e0f8b924f84,,,,,Male,,,,,,,,,,,,,,
aa7a3afb-28bf-0ac0-e692-b0560ec1a646,,zz_Debug/zz_DebugHero,,,Male,,,,,,,,,,,,,,
9b76d098-61b0-4cd7-802c-da40aef0d0a5,,TheDales/TheDales_Main/dal_wild_main_dalish_03,,Ithiren,Male,"A Dalish elf responsible for tending to his clan's halla. He recently spotted a halla whose coat shone gold in the sun, and wants it brought to the clan before it is hurt.

Halla are companion animals that resemble deer.",,Irish/welsh,Dalish Elf,,,Minor,PeterHappy22k_HQ,,,1E,False,True,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_gaspard_soldier_06 [e8ff93cc-67b5-486c-b73a-aebd14e0f6d2,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/Dales_Ambients/dal_pln_gaspardfort_entranceguard [c7a7f68b-02fc-46a0-8e99-ba58d498b8b0,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_dalish_01 [c0d7a10d-03ba-4ba9-80b8-3b2e77e72453,,,,,Male,,,,,,,,,,,,,,
5003becb-1414-4683-a456-e0db97b6c5a4,,TheDales/TheDales_Main/dal_wild_main_dalish_04,,Keeper Hawen,Male,"The Keeper of a Dalish clan who is distressed about the state of his clan, and also troubled by demons in a Dalish burial ground.",,Irish/Welsh,Dalish Elf,,,Minor,Tracy22k_HQ,,,3C,False,True,
Ebx DA3/designcontent/Characters/TheDales/TheDales_Main/dal_wild_main_gaspard_soldier_05 [700a0007-a8f9-483c-85a5-34cb14828c35,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/Oasis/the_oasis_explorer [bda87093-d959-e33a-3b1b-27d096d1a080,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/StormCoast/storm_bandit_onlooker [b71105cf-7d2c-0221-9561-65a24cf1e648,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/StormCoast/storm_bandit_contact [0b754f38-ef24-ee07-93a8-93a92cdd9b1a,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/StormCoast/storm_bandit_woman [542c54e6-6eb7-c192-457e-4aaa547f95ad,,,,,Female,,,,,,,,,,,,,,
1defb938-3dd7-070d-85dc-5f2a346c23f1,,Global/Enemies/gen_red_templar_footsoldier_m,,ss_red_templar_footsoldier_m,Male,This is the soundset character for male red templar footsoldiers.,,English,Human,,,Minor,Graham22k_HQ,,,1E,False,True,
12d7a388-8e7c-4341-8805-ad258c3d3932,,Global/Enemies/gen_venatori_enchanter_m,,Venatori Enchanter,Male,This is the soundset character for male venatori enchanters.,,Tevinter,Human,,,Minor,Graham22k_HQ,,,1E,False,True,
1a634534-e93c-37cf-5acd-1f120b61b6cd,,global/miz_sfx,,SFX,Female,,,,,,,Minor,,,,00,False,True,
9a71f78d-5f59-25c7-406f-c60a12ac2917,,ThematicLevels/DesertRuins/Tdr_main_hunter,,Desert Ruins Hunter,Female,"A hunter in the desert ruins. An expertienced veteran tracker. Confident, dry and black sense of humor.",,Scottish,Human,,,Minor,Rachel22k_HQ,,,23,False,True,
f8f00394-88cc-0057-bdd1-e9cc23a3db89,,ThematicLevels/DesertRuins/Tdr_tevinter_slave_02,,Tevinter Slave 02,Male,A tevinter slave. Cowed and fearful,,British,Human,,,Minor,,,,14,False,True,
Ebx DA3/designcontent/Characters/ThematicLevels/DesertRuins/Tdr_ambient_hunter_02 [fe6a4188-231a-6b5e-8aaf-84f26a4b78c3,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/DesertRuins/Tdr_ambient_hunter_01 [ac8d8a31-b560-0966-3196-700a44644085,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/crs_wild_LoneChanter [72720b68-2ce6-be1c-dc66-58b74a67e809,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/Bog/bog_avvar_01 [cd6b249c-7ea8-f63c-2be4-66664d667e42,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/Bog/Bog_avvar_npc [d158c83d-e944-9174-6cbf-3f2282860dc1,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/Bog_Inquisition_Soldier_01 [5f0a1cb9-2239-6782-e51f-8eddb74f2a86,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/ThematicLevels/Bog/Bog_Avvar_Leader [99c66c14-585d-77d2-6e6f-cfa6ca0f02a7,,,,,Male,,,,,,,,,,,,,,
82b84d3d-b013-d835-e13f-ae36aebfe0e3,,Adamant/ada_warden_lieutenant,,Livius Erimond,Male,"Erimond is a Tevinter mage who is ostensibly helping Warden-Commander Clarel with the blood magic ritual she needs to make her last desperate strike on the Blight. In reality, he has been leading her and the Wardens down the path of blood magic and tricking them into becoming thralls of Corypheus. He is confident, cocky, charismatic, and ambitious. Think of the Tevinter version of a cut-throat corporate stock trader.",Smug and condescending,Upper Class British,Human,,,Medium,Saul22k_HQ,,,1E,False,True,
171ddd47-5e4e-7682-9010-0afc1eb2ebc5,,InquisitionBase/jud_grey_warden_prisoner,,Ser Ruth,Female,"A seasoned soldier who has her faith broken. She can't face her past or what she might have to do in the future, so she submits himself for judgment, hoping she will die as a good example.",Emotional,Standard British,Human,,Broken veteran,Minor,Rachel22k_HQ,,,23,False,True,
d1196ece-284f-ed59-7590-12d3457d409a,,SeekerFortress/gc1_valc_TemplarGuard_01,npc_gc1_TemplarGuard_01,Knight-Captain Denam,Male,A named templar in a leadership role who refuses the player entry to the Grand Cathedral. He doesn't recognize the authority of the Inquisition.,,British,Human,,,Minor,Ryan22k_HQ,,,23,False,True,
f6b2c9bf-f094-4cfe-b0dc-68fa6834a222,,global/myt_samson,,Samson,Male,"Returning character from DA II (Gideon Emery was his VA). General of Corypheus' military forces - the Red Templars. Proud of his new role, protective of the men under his charge, loyal to Corypheus. Genuinely believes Corypheus' plan to remake the world will bring a better era for Templars mistreated by the Chantry, like him. Samson was an ex-templar begging on the streets to pay for his lyrium addiction until  recruited by Corypheus. Samson's immune to the toxic effects of Red Lyrium, making him one of the only people who can command templars mutated by the stuff. While it may seem cruel to corrupt his fellow templars into monstrous engines of destruction, Samson truly believes their sacrifice will make a better world for everyone.",,British,Human,Unique (see concept art). Red-lyrium infused templar armor.,,Medium,Ryan22k_HQ,,,1E,False,True,
0ae0674f-31e3-cfb5-5be0-5f7c807eaea9,,global/ham_florianne,,Lady Florianne,Female,"Grand Duchess Florianne de Chalons was born into a life of power, wealth, and privilege, 
but she has always lived in someone elseâs shadow.  Her older brother Gaspard was the 
crown prince of Orlais and is a charismatic general beloved by the armies of the Empire. 
Her cousin is the reigning Empress, Celene, who charmed the Council of Heralds into granting 
her the throne even though she was the youngest of the three heirs. Even her name belongs to 
someone more important â Florianne was named for her uncle, Emperor Florian, in a bid by 
her mother to curry favor.  

Now, with her brother and her cousin waging a civil war for the throne, she is completely 
overshadowed, overlooked. The court sees her as important, but not too important. 
A useful connection, but not influential. A socialite, but not a master of The Game. 
Everyone likes her, but no one takes her seriously. She is invited everywhere, and rarely noticed. 

And she uses that to her advantage.

She is the Saruman to Corypheusâ Sauron. Manipulated into betraying her own side, she 
believes that when Corypheus ascends to godhood, she will rule the mortal world. She 
thinks she has a partnership with Corypheus, when in fact, she is simply a puppet. 
She is profoundly insecure and filled with resentment towards her brother, her cousin, 
and the entire Orlesian court, but unlike Gaspard, who makes his contempt for politics 
blatantly clear, she hides her feelings and plays The Game, waiting for her chance to strike.",,French,Human,,,Major,Rachel22k_HQ,,,1E,False,True,
7e6121a5-cb20-b8db-5578-19630865d5fc,,Global/red_alexius,,Magister Alexius,Male,"A Tevinter Magister and Dorian's former mentor, Alexius is a father desperate to save his son from death at any cost.",,British,Human,,,Minor,Ryan22k_HQ,,,37,False,True,
4f45b227-4421-76c5-b86e-289570fe9efb,,Halamshiral/ham_revered_mother,,Revered Mother 1,Female,A high-ranking member of the Chantry who comes to the Inquisition in hopes of ending the perpetual deadlock in the vote for Divine.,,Could be anything,Human,,,Minor,Lucy22k_HQ,,,32,False,True,
55808477-4ac9-4fda-ebd5-86bc0012bd63,,Global/morrigan,Morrigan,Morrigan,Female,"This is the character from Dragon Age Origins-- a ""Witch of the Wilds"" who has lived apart from the rest of society in the marshes of the Korcari Wilds for most of her life. She is abrasive, mysterious, and very much has her own agenda... which is to preserve the ancient magic that the stupidity of mankind has been destroying for centuries. She is contemptuous of the Chantry and pays little heed to fools. Most recently she has become a Rasputin-like figure within the Orlesian court, dazzling the Empress with her knowledge of ancient lore until the Empress appointed her a close advisor. Nobody trusts her, but she doesn't care. She is in the court for her own reasons, and sees little reason to explain those reasons to anyone.","Sarcastic, sometimes abrasive. Her voice should be educated but not prissy-- she speaks in a straightforward manner, with an archaic lilt that marks her as ""foreign"" to most speakers.",British,Human,"Dresses in an exotic manner-- even in the Orlesian court, she'll wear a gown but it will be black and very different from everyone else's dresses. She enjoys standing out and even shocking people. Little attention to modesty, and she rather enjoys the effect that dressing provocatively will have on others.",Secretive Witch,Medium,Rachel22k_HQ,,,1E,False,True,
e893b176-e04d-c548-a1e7-8b3d0a19f7a7,,InquisitionBase/SecondBase/BaseDwellers/Obsolete/in2_scene_sergeant,,Sergeant,Female,"A tough-as-nails sergeant, giving a speech calling for volunteers to join her in a dangerous mission.",,British,Human,,,Minor,Rachel22k_HQ,,,28,False,True,
712bc01b-5153-8640-a88c-b958dff1d033,,FollowerPlots/Josephine/Mainquest/Josepine_mainquest_fetch1_waiting_noble,,Countess Dionne,Female,"An Orlesian Countess. Smooth and polite on the outside, worried and nervous on the inside. She's waiting for someone to deliver a letter from her lover.",,French,Human,,,Minor,Rachel22k_HQ,,,1E,False,True,
f51f8ce6-9f20-087c-aa50-b1b1084073f8,,FollowerPlots/Josephine/Mainquest/Josephine_mainquest_bureaucracy_noble,,Minister Bellise,Female,"A stern, imperious noblewoman in her 70s. A Minister of the Orlesian government. Elderly, but not frail. Does not suffer fools.",,French,Human,An Orlesian noblewoman,,Minor,Heather22k_HQ,,,46,False,True,
f30ffaef-eb02-6c3e-7888-10a1bcc34488,,FollowerPlots/Josephine/Mainquest/Josephine_mainquest_informant,,Comte Boisvert,Male,"""Comte Boisvert"" is an assassin who's disguising himself as a noble. He's genial, polite, and well-spoken. Fit and confident in his abilities. (Boisvert = ""bwa-VER"")",,French,Human,Orlesian noble.,,Minor,Graham22k_HQ,,,23,False,True,
6af91be2-d0be-3545-c1c1-e08f3d54d6f1,,FollowerPlots/Josephine/Romance/Josephine_romance_lord_otranto,,Lord Otranto,Male,"A brash, cocky young noble. Self-assured and used to getting what you want, but deep down something of a romantic.",,Spanish,Human,Antivan noblility.,,Minor,Graham22k_HQ,,,1E,False,True,
4c33d8c8-9dbf-551e-4b29-731b989c7ead,,Adamant/ada_stroud,,Stroud,Male,Dignified Grey Warden.,Formal,French,Human,,,Minor,Ryan22k_HQ,,,32,False,True,
104b0abf-ee88-46c7-a856-ee301e25a927,,SeekerFortress/gc1_gc1_Templarrookie_01,gc1_gc1_TemplarSergeant,Knight-Templar Barris,Male,"A young templar, dedicated and strong. Doesn't want to questions his leaders, but may be forced by circumstance. Noble family, which pushes him into a later position of influence.",,Standard British,Human,,Principled Knight,Medium,Ryan22k_HQ,,,17,False,True,
4d2a1525-d7b7-3672-018b-778d029ab12e,,Adamant/ada_hawke_f,Hawke,Female Hawke,Female,"The protagonist from DA2.

After the events of DA2, Hawke discovered that some of Kirkwall's templars were using red lyrium. Recognizing that the lyrium was Blighted, she went to the Grey Wardens for help. Hawke's Grey Warden contact may now prove useful to the Inquisition.

Hawke offers information and support to the Inquisitor. She feels responsible for Corypheus' actions (she failed to kill him in DA2: Legacy) and is determined to help in any way she can.",,Standard British,Human,,,Minor,Rachel22k_HQ,,,23,False,True,
48afd275-f911-2ae6-77bc-ed21711a46f7,,Adamant/ada_hawke_m,Hawke,Male Hawke,Male,"The protagonist from DA2. 

After the events of DA2, Hawke discovered that some of Kirkwall's templars were using red lyrium. Recognizing that the lyrium was Blighted, he went to the Grey Wardens for help. Hawke's Grey Warden contact may now prove useful to the Inquisition.

Hawke offers information and support to the Inquisitor. He feels responsible for Corypheus' actions (he failed to kill him in DA2: Legacy) and is determined to help in any way he can.",,Standard British,Human,,,Minor,Tyler22k_HQ,,,23,False,True,
4b1becbc-f409-ac4c-5fc7-25382e5f1342,,Adamant/ada_loghain,Loghain,Loghain,Male,"Appears in Dragon Age: Origins.

Since the events of Dragon Age: Origins, Loghain has been serving with the Grey Wardens. Although, given his reputation as a traitor, the Wardens never fully accepted him.

Loghain remains serious, grim, and focused on the ""big picture."" He is willing to sacrifice himself for the greater good.",,Standard British,Human,,,Minor,Graham22k_HQ,,,41,False,True,
7e609dc0-d02e-41de-ac52-c1d1e9caba9b,,Adamant/ada_alistair,Alistair,Alistair,Male,"If Redcliffe plot:
Following the events of Dragon Age: Origins, Alistair took his place as King of Ferelden. He remains earnest, wry and self-deprecating. He is exasperated with the situation in Redcliffe, feeling that the mages have taken advantage of his good will.

If Adamant plot:
Following the events of Dragon Age: Origins, Alistair continued serving with the Grey Wardens (or returned to the Grey Wardens after a dark period). He remains wry and self-deprecating, but is a bit more world-weary than he was in DAO. He is disturbed by what's happening to the Grey Wardens and is willing to sacrifice himself for the greater good.",,Standard British,Human,,,Minor,PeterHappy22k_HQ,,,1F,False,True,
181b1330-51c4-9a24-b2d0-951dd0f1ce7e,,InquisitionBase/SecondBase/in2_kieran,,Kieran,Male,"Morrigan's son-- who may be the result of the ritual in the first Dragon Age game, or may simply be the product of Morrigan's affair with the Warden. He's an intelligent, serious-minded boy who surprises people with his insight. Far more than you'd expect from a 10-year old.",Soft-spoken but serious. Very clever but never cocky.,British,Human,,,Minor,PeterSad22k_HQ,,,0A,False,True,
b32caedf-3c97-5259-8f75-3f7d7d151dc5,,InquisitionBase/SecondBase/BaseDwellers/in2_staff_influence_vendor,,Farris the Representative,Male,"A worldly noble, used to plying influence. A master of diplomacy.",,Standard British,Elf,Flamboyant noble,,Minor,Graham22k_HQ,,,32,False,True,
c4da0841-03a3-4e1d-9f92-62f39ae9ba42,,Ferelden/FereldenWilderness/fer_horse_master,,Master Dennet,Male,"Former Master of Horse for Redcliffe, he now owns land. While not technically a lord himself, he has that effective level of power. He is essentially a very wealthy man who worked his way up from the stables, a former ranch hand who now owns the ranch. He's tough, pragmatic, and no nonsense, and he's more impressed by people who get things done than by fancy titles. He refers to the player as ""Inquisition"" the same way that a grizzled old marine would call a fellow serviceman ""Army"" -- casual, but with underlying respect for the institution. ""So, you come here to get my horses, Inquisition?""",,Upper class British,Human,,,Minor,Graham22k_HQ,,,32,False,True,
22fd635f-972b-5c91-7366-12bf2713b05a,,InquisitionBase/base_dagna,,Arcanist Dagna,Female,"An excitable, perky woman. She is something of a blacksmithing prodigy, and is also extremely learned in practical enchantment. The kind of enthusiastic ""leap-first"" thinker who would build a reactor in their basement because it's neat, without quite thinking thorugh the consequences.",,American,Dwarf,Dagna,Fast thinking tinker,Medium,Tracy22k_HQ,,,1A,False,True,
53139a6d-e7a0-4b11-8f69-4a2ccdffab3a,,Global/HUBs/in1_blacksmith,,Harritt,Male,"Harritt, Haven's blacksmith, is a man of few words. He knows how to forge blades, and he cares little for politics or even politeness. He is not rude so much as he is a working man, an expert craftsman who will brush off nobles without a second thought in order to make sure his apprentice quenches a blade properly. If you're a fellow craftsman, he'll spare a few more words for you, but he'll never be much for small talk.",,Lower Class British,Human,,,Minor,Will22k_HQ,,,28,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_merchant [1c7a95e5-7819-32dc-2513-db5dd2b4cf51,,,,,Female,,,,,,,,,,,,,,
0852b036-54bc-256e-05df-20f7f7ca2262,,InquisitionBase/SecondBase/BaseDwellers/in2_ambient_library_archivist,,Archivist,Male,A cheerful librarian who is occasionally overwhelmed by all the tasks he's been given.,,French,Human,,,Minor,Ryan22k_HQ,,,1E,False,True,
3caab01f-f29b-6a1f-f136-7e3d68af3bd9,,InquisitionBase/SecondBase/BaseDwellers/in2_staff_bartender,,Cabot,Male,"A sour bartender, generally disinterested in talking. He's a support role surrounded by heroes. They're mostly jerks, but deep down he believes in the cause.",,American,Dwarf,,,Minor,Ryan22k_HQ,,,1E,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_quartermaster [bb2b5ed0-9a6d-be68-9416-1455bba19518,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_jailer [affad7ab-fd68-1d35-640b-afb6ebfb13b3,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_researcher [c9272de5-7859-34f3-ef40-52a8a89509c4,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_leliana [9d18a558-192c-f5b5-872a-3dd8b4341801,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_2 [b1291b5e-386f-b9b6-33da-b5dac71eefad,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_apothecary [d7883c18-202a-368a-c6f6-14c4890ea6d1,,,,,Female,,,,,,,,,,,,,,
91054462-840a-0606-e7bb-a9dc2c029534,,InquisitionBase/SecondBase/BaseDwellers/in2_ambient_doctor,,Surgeon,Female,"An eccentric doctor who runs an infirmary in Skyhold. She's fascinated by new-fangled medical ideas and wants to rely on science, rather than on magic and herbs.",,British,Human,,,Minor,Lucy22k_HQ,,,28,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_cullen [3783a027-8bc0-4346-1806-6dbe4ba39abe,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_4 [cc014493-ff06-d03a-583a-691eff3fcc33,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_1 [1bb43f59-653d-2e0c-61c4-9a920647ddcc,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_tile_mason [b768b830-4fbe-25d5-f078-157f5c051513,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_3 [3f21dd7e-d7e0-0ae4-4a91-7b918d665693,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/in2_staff_runner_josephine [b8671b96-d106-d636-4d0c-6013bca7881a,,,,,Female,,,,,,,,,,,,,,
65e353e8-f7a1-6397-c761-fcad7022f93e,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_cook,,Skyhold Head Cook,Male,"Irate, over-worked cook who is trying to provide meals for an entire army.",,French,Human,,,Minor,Saul22k_HQ,,,32,False,True,
ee20e899-f584-7417-3da4-4d81c36deeb3,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_dummy_shooter,,Skyhold Practicing Archer,Female,A young archer who is testing out her skills on a straw target.,,French,Human,,,Minor,Rachel22k_HQ,,,14,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_servant [163c9317-5c67-16de-f4aa-26a3ad420af6,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_connect_diplomat [c5b2c43d-9b0a-d1ad-02cd-0210dc50400b,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_forces_soldier [e0200e06-3633-90a4-6101-81e611d4ed22,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_secrets_spy [5ac44c41-bcae-cfb7-70b6-d9d909f9e9e8,,,,,Female,,,,,,,,,,,,,,
dbbe8e2c-8342-3b89-709d-634575f5f571,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_battlement_guard_f,,Skyhold Battlements Guard,Female,A guard who watches over Skyhold from its many battlements.,,British,Human,,,Minor,Laura22k_HQ,,,1E,False,True,
01e0c73f-3632-af65-11bd-691d87e721c1,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_buildingcrew,,Skyhold Worker,Male,A craftsman working on construction in Skyhold.,,Low class British,,,,Minor,Deepa22k_HQ,,,1E,False,True,
8c8ef20f-dc73-cd65-b7d8-441222941ba5,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Recurring/in2_scene_recur_bar_patron,,Skyhold Bar Patron,Male,An Inquisition soldier spending time in the tavern.,,Lower class British,Human,,,Minor,Micah22k_HQ,,,28,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_mage_knight_enchanter [708406c6-945a-a0c8-e195-4bba61470673,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_warrior_champion [e2a54cc1-dfcd-96b6-2c19-e6a8295a1ac2,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_mage_necromancer [66d07eee-aab5-5717-0a54-e58da750146b,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_rogue_artificer [08d277c0-1a73-28a0-0ed2-440142eb55ad,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_warrior_reaver [70b06b22-0c43-5d1c-afed-c37b4e64aa8e,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_warrior_templar [91b0f783-3fab-f9ff-ff1e-7e24e2cb06b5,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_mage_rift_mage [ee9d48df-1ea8-14fa-65cc-dc06fa307b49,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_rogue_assassin [fc3cb1fb-dc3e-9ba5-dcb6-8eee9cec251b,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Trainers/in2_trainer_rogue_tempest [aa0aa9ea-01e2-b451-af37-cca60c944e25,,,,,Male,,,,,,,,,,,,,,
edbca970-f6a2-e581-b933-45424b5434ad,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_greathallcomment,,Skyhold Great Hall Commenter,Male,Inquisition soldier marvelling at the great hall.,,British,Human,,,Minor,Micah22k_HQ,,,19,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_nobles_catty [df0f89d2-1e78-436e-39d2-d62edceafaca,,,,,Male,,,,,,,,,,,,,,
03ef9f02-6576-351c-f092-51afdde2ce6a,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_construction_boss,,Skyhold Construction Boss,Female,Experienced engineer deciding on the layout of facilities in Skyhold.,,French,Human,,,Minor,Heather22k_HQ,,,28,False,True,
04b1ea03-c381-3aed-33c5-3d1053ca6a29,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_construction_grunt,,Skyhold Construction Grunt,Male,Construction worker trying to figure out what his boss wants.,,Lower class British,Human,,,Minor,Peter22k_HQ,,,14,False,True,
2acc1ded-2a24-7a93-353e-0700acc89096,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_tiredpilgrim,,Skyhold Tired Pilgrim,Female,A pilgrim tired from the long journey to Skyhold.,,French,Human,,,Minor,Laura22k_HQ,,,28,False,True,
cbfa711d-8c54-f952-0a9c-2d7ae08b5c8e,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_secretscagemovers,,Skyhold Leliana's Mover,Male,Inquisition agent giving directions about where to move equipment.,,Lower class British,Elf,,,Minor,Will22k_HQ,,,1E,False,True,
76ead284-72e5-6b2f-37ca-52ed5589b0b3,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_magesonmission,,Skyhold Deployed Mage,Female,A mage getting ready to go on a mission for the Inquisition.,,British,Human,,,Minor,Tracy22k_HQ,,,1E,False,True,
4951e056-8a08-3ff0-b95f-16e9105e198e,,InquisitionBase/SecondBase/BaseDwellers/Scenes_Once/in2_scene_once_templarsonmission,,Skyhold Deployed Templar,Male,A templar getting ready to go on a mission for the Inquisition.,,French,Human,,,Minor,Ryan22k_HQ,,,1E,False,True,
823f77d6-2bcc-44bb-ba5d-e92077d9df19,,Global/HUBs/in1_merchant,,Seggrit,Male,"Haven's merchant, Seggrit, is a slightly weaselly opportunist. He lost a lot of his supplies, making it impossible for him to charge war-time rates and make a fortune, and as a result, he is pinning all his hopes on the Inquisition. As such, he is a bit smarmy but on the Inquisitor's side -- respectful because he thinks there's something in it for him. Generally a bit unpleasant, though not actually evil -- your basic greedy entrepreneur.",,American,Dwarf,,,Minor,Will22k_HQ,,,1E,False,True,
Ebx DA3/designcontent/Characters/InquisitionBase/SecondBase/BaseDwellers/flavorpairs/in2_flavor_romances_1 [cfc22659-526f-207c-e8a0-ef4ffc4cc6f1,,,,,Female,,,,,,,,,,,,,,
