"Yuri" :6589,
"UnknownChar2105" :1,
"UnknownChar2104" :1,
"UnknownChar2103" :1,
"UnknownChar2102" :1,
"UnknownChar2101" :1,
"UnknownChar2100" :1,
"UnknownChar2099" :1,
"UnknownChar2098" :1,
"UnknownChar2097" :1,
"UnknownChar2096" :1,
"UnknownChar2095" :1,
"UnknownChar2094" :1,
"UnknownChar2093" :1,
"UnknownChar2092" :1,
"UnknownChar2091" :1,
"UnknownChar2090" :1,
"UnknownChar2089" :1,
"UnknownChar2088" :1,
"UnknownChar2087" :1,
"UnknownChar2086" :1,
"UnknownChar2085" :1,
"UnknownChar2084" :1,
"UnknownChar2083" :1,
"UnknownChar2082" :1,
"UnknownChar2081" :1,
"UnknownChar2080" :1,
"UnknownChar2079" :1,
"UnknownChar2078" :1,
"UnknownChar2077" :1,
"UnknownChar2076" :1,
"UnknownChar2075" :1,
"UnknownChar2074" :1,
"UnknownChar2073" :1,
"UnknownChar2072" :1,
"UnknownChar2071" :1,
"UnknownChar2070" :1,
"UnknownChar2069" :1,
"UnknownChar2068" :1,
"UnknownChar2067" :1,
"UnknownChar2066" :1,
"UnknownChar2065" :1,
"UnknownChar2064" :1,
"UnknownChar2063" :1,
"UnknownChar2062" :1,
"UnknownChar2061" :1,
"UnknownChar2060" :1,
"UnknownChar2059" :1,
"UnknownChar2058" :1,
"UnknownChar2057" :1,
"UnknownChar2056" :1,
"UnknownChar2055" :1,
"UnknownChar2054" :1,
"UnknownChar2053" :1,
"UnknownChar2052" :1,
"UnknownChar2051" :1,
"UnknownChar2050" :1,
"UnknownChar2049" :1,
"UnknownChar2048" :1,
"UnknownChar2047" :1,
"UnknownChar2046" :1,
"UnknownChar2045" :1,
"UnknownChar2044" :1,
"UnknownChar2043" :1,
"UnknownChar2042" :1,
"UnknownChar2041" :1,
"UnknownChar2040" :1,
"UnknownChar2039" :1,
"UnknownChar2038" :1,
"UnknownChar2037" :1,
"UnknownChar2036" :1,
"UnknownChar2035" :1,
"UnknownChar2034" :1,
"UnknownChar2033" :1,
"UnknownChar2032" :1,
"UnknownChar2031" :1,
"UnknownChar2030" :1,
"UnknownChar2029" :1,
"UnknownChar2028" :1,
"UnknownChar2027" :1,
"UnknownChar2026" :1,
"UnknownChar2025" :1,
"UnknownChar2024" :1,
"UnknownChar2023" :1,
"UnknownChar2022" :1,
"UnknownChar2021" :1,
"UnknownChar2020" :1,
"UnknownChar2019" :1,
"UnknownChar2018" :1,
"UnknownChar2017" :1,
"UnknownChar2016" :1,
"UnknownChar2015" :1,
"UnknownChar2014" :1,
"UnknownChar2013" :1,
"UnknownChar2012" :1,
"UnknownChar2011" :1,
"UnknownChar2010" :1,
"UnknownChar2009" :1,
"UnknownChar2008" :1,
"UnknownChar2007" :1,
"UnknownChar2006" :1,
"UnknownChar2005" :1,
"UnknownChar2004" :1,
"UnknownChar2003" :1,
"UnknownChar2002" :1,
"UnknownChar2001" :1,
"UnknownChar2000" :1,
"UnknownChar1999" :1,
"UnknownChar1998" :1,
"UnknownChar1997" :1,
"UnknownChar1996" :1,
"UnknownChar1995" :1,
"UnknownChar1994" :1,
"UnknownChar1993" :1,
"UnknownChar1992" :1,
"UnknownChar1991" :1,
"UnknownChar1990" :1,
"UnknownChar1989" :1,
"UnknownChar1988" :1,
"UnknownChar1987" :1,
"UnknownChar1986" :1,
"UnknownChar1985" :1,
"UnknownChar1984" :1,
"UnknownChar1983" :1,
"UnknownChar1982" :1,
"UnknownChar1981" :1,
"UnknownChar1980" :1,
"UnknownChar1979" :1,
"UnknownChar1978" :1,
"UnknownChar1977" :1,
"UnknownChar1976" :1,
"UnknownChar1975" :1,
"UnknownChar1974" :1,
"UnknownChar1973" :1,
"UnknownChar1972" :1,
"UnknownChar1971" :1,
"UnknownChar1970" :1,
"UnknownChar1969" :1,
"UnknownChar1968" :1,
"UnknownChar1967" :1,
"UnknownChar1966" :1,
"UnknownChar1965" :1,
"UnknownChar1964" :1,
"UnknownChar1963" :1,
"UnknownChar1962" :1,
"UnknownChar1961" :1,
"UnknownChar1960" :1,
"UnknownChar1959" :1,
"UnknownChar1958" :1,
"UnknownChar1957" :1,
"UnknownChar1956" :1,
"UnknownChar1955" :1,
"UnknownChar1954" :1,
"UnknownChar1953" :1,
"UnknownChar1952" :1,
"UnknownChar1951" :1,
"UnknownChar1950" :1,
"UnknownChar1949" :1,
"UnknownChar1948" :1,
"UnknownChar1947" :1,
"UnknownChar1946" :1,
"UnknownChar1945" :1,
"UnknownChar1944" :1,
"UnknownChar1943" :1,
"UnknownChar1942" :1,
"UnknownChar1941" :1,
"UnknownChar1940" :1,
"UnknownChar1939" :1,
"UnknownChar1938" :1,
"UnknownChar1937" :1,
"UnknownChar1936" :1,
"UnknownChar1935" :1,
"UnknownChar1934" :1,
"UnknownChar1933" :1,
"UnknownChar1932" :1,
"UnknownChar1931" :1,
"UnknownChar1930" :1,
"UnknownChar1929" :1,
"UnknownChar1928" :1,
"UnknownChar1927" :1,
"UnknownChar1926" :1,
"UnknownChar1925" :1,
"UnknownChar1924" :1,
"UnknownChar1923" :1,
"UnknownChar1922" :1,
"UnknownChar1921" :1,
"UnknownChar1920" :1,
"UnknownChar1919" :1,
"UnknownChar1918" :1,
"UnknownChar1917" :1,
"UnknownChar1916" :1,
"UnknownChar1915" :1,
"UnknownChar1914" :1,
"UnknownChar1913" :1,
"UnknownChar1912" :1,
"UnknownChar1911" :1,
"UnknownChar1910" :1,
"UnknownChar1909" :1,
"UnknownChar1908" :1,
"UnknownChar1907" :1,
"UnknownChar1906" :1,
"UnknownChar1905" :1,
"UnknownChar1904" :1,
"UnknownChar1903" :1,
"UnknownChar1902" :1,
"UnknownChar1901" :1,
"UnknownChar1900" :1,
"UnknownChar1899" :1,
"UnknownChar1898" :1,
"UnknownChar1897" :1,
"UnknownChar1896" :1,
"UnknownChar1895" :1,
"UnknownChar1894" :1,
"UnknownChar1893" :1,
"UnknownChar1892" :1,
"UnknownChar1891" :1,
"UnknownChar1890" :1,
"UnknownChar1889" :1,
"UnknownChar1888" :1,
"UnknownChar1887" :1,
"UnknownChar1886" :1,
"UnknownChar1885" :1,
"UnknownChar1884" :1,
"UnknownChar1883" :1,
"UnknownChar1882" :1,
"UnknownChar1881" :1,
"UnknownChar1880" :1,
"UnknownChar1879" :1,
"UnknownChar1878" :1,
"UnknownChar1877" :1,
"UnknownChar1876" :1,
"UnknownChar1875" :1,
"UnknownChar1874" :1,
"UnknownChar1873" :1,
"UnknownChar1872" :1,
"UnknownChar1871" :1,
"UnknownChar1870" :1,
"UnknownChar1869" :1,
"UnknownChar1868" :1,
"UnknownChar1867" :1,
"UnknownChar1866" :1,
"UnknownChar1865" :1,
"UnknownChar1864" :1,
"UnknownChar1863" :1,
"UnknownChar1862" :1,
"UnknownChar1861" :1,
"UnknownChar1860" :1,
"UnknownChar1859" :1,
"UnknownChar1858" :1,
"UnknownChar1857" :1,
"UnknownChar1856" :1,
"UnknownChar1855" :1,
"UnknownChar1854" :1,
"UnknownChar1853" :1,
"UnknownChar1852" :1,
"UnknownChar1851" :1,
"UnknownChar1850" :1,
"UnknownChar1849" :1,
"UnknownChar1848" :1,
"UnknownChar1847" :1,
"UnknownChar1846" :1,
"UnknownChar1845" :1,
"UnknownChar1844" :1,
"UnknownChar1843" :1,
"UnknownChar1842" :1,
"UnknownChar1841" :1,
"UnknownChar1840" :1,
"UnknownChar1839" :1,
"UnknownChar1838" :1,
"UnknownChar1837" :1,
"UnknownChar1836" :1,
"UnknownChar1835" :1,
"UnknownChar1834" :1,
"UnknownChar1833" :1,
"UnknownChar1832" :1,
"UnknownChar1831" :1,
"UnknownChar1830" :1,
"UnknownChar1829" :1,
"UnknownChar1828" :1,
"UnknownChar1827" :1,
"UnknownChar1826" :1,
"UnknownChar1825" :1,
"UnknownChar1824" :1,
"UnknownChar1823" :1,
"UnknownChar1822" :1,
"UnknownChar1821" :1,
"UnknownChar1820" :1,
"UnknownChar1819" :1,
"UnknownChar1818" :1,
"UnknownChar1817" :1,
"UnknownChar1816" :1,
"UnknownChar1815" :1,
"UnknownChar1814" :1,
"UnknownChar1813" :1,
"UnknownChar1812" :1,
"UnknownChar1811" :1,
"UnknownChar1810" :1,
"UnknownChar1809" :1,
"UnknownChar1808" :1,
"UnknownChar1807" :1,
"UnknownChar1806" :1,
"UnknownChar1805" :1,
"UnknownChar1804" :1,
"UnknownChar1803" :1,
"UnknownChar1802" :1,
"UnknownChar1801" :1,
"UnknownChar1800" :1,
"UnknownChar1799" :1,
"UnknownChar1798" :1,
"UnknownChar1797" :1,
"UnknownChar1796" :1,
"UnknownChar1795" :1,
"UnknownChar1794" :1,
"UnknownChar1793" :1,
"UnknownChar1792" :1,
"UnknownChar1791" :1,
"UnknownChar1790" :1,
"UnknownChar1789" :1,
"UnknownChar1788" :1,
"UnknownChar1787" :1,
"UnknownChar1786" :1,
"UnknownChar1785" :1,
"UnknownChar1784" :1,
"UnknownChar1783" :1,
"UnknownChar1782" :1,
"UnknownChar1781" :1,
"UnknownChar1780" :1,
"UnknownChar1779" :1,
"UnknownChar1778" :1,
"UnknownChar1777" :1,
"UnknownChar1776" :1,
"UnknownChar1775" :1,
"UnknownChar1774" :1,
"UnknownChar1773" :1,
"UnknownChar1772" :1,
"UnknownChar1771" :1,
"UnknownChar1770" :1,
"UnknownChar1769" :1,
"UnknownChar1768" :1,
"UnknownChar1767" :1,
"UnknownChar1766" :1,
"UnknownChar1765" :1,
"UnknownChar1764" :1,
"UnknownChar1763" :1,
"UnknownChar1762" :1,
"UnknownChar1761" :1,
"UnknownChar1760" :1,
"UnknownChar1759" :1,
"UnknownChar1758" :1,
"UnknownChar1757" :1,
"UnknownChar1756" :1,
"UnknownChar1755" :1,
"UnknownChar1754" :1,
"UnknownChar1753" :1,
"UnknownChar1752" :1,
"UnknownChar1751" :1,
"UnknownChar1750" :1,
"UnknownChar1749" :1,
"UnknownChar1748" :1,
"UnknownChar1747" :1,
"UnknownChar1746" :1,
"UnknownChar1745" :1,
"UnknownChar1744" :1,
"UnknownChar1743" :1,
"UnknownChar1742" :1,
"UnknownChar1741" :1,
"UnknownChar1740" :1,
"UnknownChar1739" :1,
"UnknownChar1738" :1,
"UnknownChar1737" :1,
"UnknownChar1736" :1,
"UnknownChar1735" :1,
"UnknownChar1734" :1,
"UnknownChar1733" :1,
"UnknownChar1732" :1,
"UnknownChar1731" :1,
"UnknownChar1730" :1,
"UnknownChar1729" :1,
"UnknownChar1728" :1,
"UnknownChar1727" :1,
"UnknownChar1726" :1,
"UnknownChar1725" :1,
"UnknownChar1724" :1,
"UnknownChar1723" :1,
"UnknownChar1722" :1,
"UnknownChar1721" :1,
"UnknownChar1720" :1,
"UnknownChar1719" :1,
"UnknownChar1718" :1,
"UnknownChar1717" :1,
"UnknownChar1716" :1,
"UnknownChar1715" :1,
"UnknownChar1714" :1,
"UnknownChar1713" :1,
"UnknownChar1712" :1,
"UnknownChar1711" :1,
"UnknownChar1710" :1,
"UnknownChar1709" :1,
"UnknownChar1708" :1,
"UnknownChar1707" :1,
"UnknownChar1706" :1,
"UnknownChar1705" :1,
"UnknownChar1704" :1,
"UnknownChar1703" :1,
"UnknownChar1702" :1,
"UnknownChar1701" :1,
"UnknownChar1700" :1,
"UnknownChar1699" :1,
"UnknownChar1698" :1,
"UnknownChar1697" :1,
"UnknownChar1696" :1,
"UnknownChar1695" :1,
"UnknownChar1694" :1,
"UnknownChar1693" :1,
"UnknownChar1692" :1,
"UnknownChar1691" :1,
"UnknownChar1690" :1,
"UnknownChar1689" :1,
"UnknownChar1688" :1,
"UnknownChar1687" :1,
"UnknownChar1686" :1,
"UnknownChar1685" :1,
"UnknownChar1684" :1,
"UnknownChar1683" :1,
"UnknownChar1682" :1,
"UnknownChar1681" :1,
"UnknownChar1680" :1,
"UnknownChar1679" :1,
"UnknownChar1678" :1,
"UnknownChar1677" :1,
"UnknownChar1676" :1,
"UnknownChar1675" :1,
"UnknownChar1674" :1,
"UnknownChar1673" :1,
"UnknownChar1672" :1,
"UnknownChar1671" :1,
"UnknownChar1670" :1,
"UnknownChar1669" :1,
"UnknownChar1668" :1,
"UnknownChar1667" :1,
"UnknownChar1666" :1,
"UnknownChar1665" :1,
"UnknownChar1664" :1,
"UnknownChar1663" :1,
"UnknownChar1662" :1,
"UnknownChar1661" :1,
"UnknownChar1660" :1,
"UnknownChar1659" :1,
"UnknownChar1658" :1,
"UnknownChar1657" :1,
"UnknownChar1656" :1,
"UnknownChar1655" :1,
"UnknownChar1654" :1,
"UnknownChar1653" :1,
"UnknownChar1652" :1,
"UnknownChar1651" :1,
"UnknownChar1650" :1,
"UnknownChar1649" :1,
"UnknownChar1648" :1,
"UnknownChar1647" :1,
"UnknownChar1646" :1,
"UnknownChar1645" :1,
"UnknownChar1644" :1,
"UnknownChar1643" :1,
"UnknownChar1642" :1,
"UnknownChar1641" :1,
"UnknownChar1640" :1,
"UnknownChar1639" :1,
"UnknownChar1638" :1,
"UnknownChar1637" :1,
"UnknownChar1636" :1,
"UnknownChar1635" :1,
"UnknownChar1634" :1,
"UnknownChar1633" :1,
"UnknownChar1632" :1,
"UnknownChar1631" :1,
"UnknownChar1630" :1,
"UnknownChar1629" :1,
"UnknownChar1628" :1,
"UnknownChar1627" :1,
"UnknownChar1626" :1,
"UnknownChar1625" :1,
"UnknownChar1624" :1,
"UnknownChar1623" :1,
"UnknownChar1622" :1,
"UnknownChar1621" :1,
"UnknownChar1620" :1,
"UnknownChar1619" :1,
"UnknownChar1618" :1,
"UnknownChar1617" :1,
"UnknownChar1616" :1,
"UnknownChar1615" :1,
"UnknownChar1614" :1,
"UnknownChar1613" :1,
"UnknownChar1612" :1,
"UnknownChar1611" :1,
"UnknownChar1610" :1,
"UnknownChar1609" :1,
"UnknownChar1608" :1,
"UnknownChar1607" :1,
"UnknownChar1606" :1,
"UnknownChar1605" :1,
"UnknownChar1604" :1,
"UnknownChar1603" :1,
"UnknownChar1602" :1,
"UnknownChar1601" :1,
"UnknownChar1600" :1,
"UnknownChar1599" :1,
"UnknownChar1598" :1,
"UnknownChar1597" :1,
"UnknownChar1596" :1,
"UnknownChar1595" :1,
"UnknownChar1594" :1,
"UnknownChar1593" :1,
"UnknownChar1592" :1,
"UnknownChar1591" :1,
"UnknownChar1590" :1,
"UnknownChar1589" :1,
"UnknownChar1588" :1,
"UnknownChar1587" :1,
"UnknownChar1586" :1,
"UnknownChar1585" :1,
"UnknownChar1584" :1,
"UnknownChar1583" :1,
"UnknownChar1582" :1,
"UnknownChar1581" :1,
"UnknownChar1580" :1,
"UnknownChar1579" :1,
"UnknownChar1578" :1,
"UnknownChar1577" :1,
"UnknownChar1576" :1,
"UnknownChar1575" :1,
"UnknownChar1574" :1,
"UnknownChar1573" :1,
"UnknownChar1572" :1,
"UnknownChar1571" :1,
"UnknownChar1570" :1,
"UnknownChar1569" :1,
"UnknownChar1568" :1,
"UnknownChar1567" :1,
"UnknownChar1566" :1,
"UnknownChar1565" :1,
"UnknownChar1564" :1,
"UnknownChar1563" :1,
"UnknownChar1562" :1,
"UnknownChar1561" :1,
"UnknownChar1560" :1,
"UnknownChar1559" :1,
"UnknownChar1558" :1,
"UnknownChar1557" :1,
"UnknownChar1556" :1,
"UnknownChar1555" :1,
"UnknownChar1554" :1,
"UnknownChar1553" :1,
"UnknownChar1552" :1,
"UnknownChar1551" :1,
"UnknownChar1550" :1,
"UnknownChar1549" :1,
"UnknownChar1548" :1,
"UnknownChar1547" :1,
"UnknownChar1546" :1,
"UnknownChar1545" :1,
"UnknownChar1544" :1,
"UnknownChar1543" :1,
"UnknownChar1542" :1,
"UnknownChar1541" :1,
"UnknownChar1540" :1,
"UnknownChar1539" :1,
"UnknownChar1538" :1,
"UnknownChar1537" :1,
"UnknownChar1536" :1,
"UnknownChar1535" :1,
"UnknownChar1534" :1,
"UnknownChar1533" :1,
"UnknownChar1532" :1,
"UnknownChar1531" :1,
"UnknownChar1530" :1,
"UnknownChar1529" :1,
"UnknownChar1528" :1,
"UnknownChar1527" :1,
"UnknownChar1526" :1,
"UnknownChar1525" :1,
"UnknownChar1524" :1,
"UnknownChar1523" :1,
"UnknownChar1522" :1,
"UnknownChar1521" :1,
"UnknownChar1520" :1,
"UnknownChar1519" :1,
"UnknownChar1518" :1,
"UnknownChar1517" :1,
"UnknownChar1516" :1,
"UnknownChar1515" :1,
"UnknownChar1514" :1,
"UnknownChar1513" :1,
"UnknownChar1512" :1,
"UnknownChar1511" :1,
"UnknownChar1510" :1,
"UnknownChar1509" :1,
"UnknownChar1508" :1,
"UnknownChar1507" :1,
"UnknownChar1506" :1,
"UnknownChar1505" :1,
"UnknownChar1504" :1,
"UnknownChar1503" :1,
"UnknownChar1502" :1,
"UnknownChar1501" :1,
"UnknownChar1500" :1,
"UnknownChar1499" :1,
"UnknownChar1498" :1,
"UnknownChar1497" :1,
"UnknownChar1496" :1,
"UnknownChar1495" :1,
"UnknownChar1494" :1,
"UnknownChar1493" :1,
"UnknownChar1492" :1,
"UnknownChar1491" :1,
"UnknownChar1490" :1,
"UnknownChar1489" :1,
"UnknownChar1488" :1,
"UnknownChar1487" :1,
"UnknownChar1486" :1,
"UnknownChar1485" :1,
"UnknownChar1484" :1,
"UnknownChar1483" :1,
"UnknownChar1482" :1,
"UnknownChar1481" :1,
"UnknownChar1480" :1,
"UnknownChar1479" :1,
"UnknownChar1478" :1,
"UnknownChar1477" :1,
"UnknownChar1476" :1,
"UnknownChar1475" :1,
"UnknownChar1474" :1,
"UnknownChar1473" :1,
"UnknownChar1472" :1,
"UnknownChar1471" :1,
"UnknownChar1470" :1,
"UnknownChar1469" :1,
"UnknownChar1468" :1,
"UnknownChar1467" :1,
"UnknownChar1466" :1,
"UnknownChar1465" :1,
"UnknownChar1464" :1,
"UnknownChar1463" :1,
"UnknownChar1462" :1,
"UnknownChar1461" :1,
"UnknownChar1460" :1,
"UnknownChar1459" :1,
"UnknownChar1458" :1,
"UnknownChar1457" :1,
"UnknownChar1456" :1,
"UnknownChar1455" :1,
"UnknownChar1454" :1,
"UnknownChar1453" :1,
"UnknownChar1452" :1,
"UnknownChar1451" :1,
"UnknownChar1450" :1,
"UnknownChar1449" :1,
"UnknownChar1448" :1,
"UnknownChar1447" :1,
"UnknownChar1446" :1,
"UnknownChar1445" :1,
"UnknownChar1444" :1,
"UnknownChar1443" :1,
"UnknownChar1442" :1,
"UnknownChar1441" :1,
"UnknownChar1440" :1,
"UnknownChar1439" :1,
"UnknownChar1438" :1,
"UnknownChar1437" :1,
"UnknownChar1436" :1,
"UnknownChar1435" :1,
"UnknownChar1434" :1,
"UnknownChar1433" :1,
"UnknownChar1432" :1,
"UnknownChar1431" :1,
"UnknownChar1430" :1,
"UnknownChar1429" :1,
"UnknownChar1428" :1,
"UnknownChar1427" :1,
"UnknownChar1426" :1,
"UnknownChar1425" :1,
"UnknownChar1424" :1,
"UnknownChar1423" :1,
"UnknownChar1422" :1,
"UnknownChar1421" :1,
"UnknownChar1420" :1,
"UnknownChar1419" :1,
"UnknownChar1418" :1,
"UnknownChar1417" :1,
"UnknownChar1416" :1,
"UnknownChar1415" :1,
"UnknownChar1414" :1,
"UnknownChar1413" :1,
"UnknownChar1412" :1,
"UnknownChar1411" :1,
"UnknownChar1410" :1,
"UnknownChar1409" :1,
"UnknownChar1408" :1,
"UnknownChar1407" :1,
"UnknownChar1406" :1,
"UnknownChar1405" :1,
"UnknownChar1404" :1,
"UnknownChar1403" :1,
"UnknownChar1402" :1,
"UnknownChar1401" :1,
"UnknownChar1400" :1,
"UnknownChar1399" :1,
"UnknownChar1398" :1,
"UnknownChar1397" :1,
"UnknownChar1396" :1,
"UnknownChar1395" :1,
"UnknownChar1394" :1,
"UnknownChar1393" :1,
"UnknownChar1392" :1,
"UnknownChar1391" :1,
"UnknownChar1390" :1,
"UnknownChar1389" :1,
"UnknownChar1388" :1,
"UnknownChar1387" :1,
"UnknownChar1386" :1,
"UnknownChar1385" :1,
"UnknownChar1384" :1,
"UnknownChar1383" :1,
"UnknownChar1382" :1,
"UnknownChar1381" :1,
"UnknownChar1380" :1,
"UnknownChar1379" :1,
"UnknownChar1378" :1,
"UnknownChar1377" :1,
"UnknownChar1376" :1,
"UnknownChar1375" :1,
"UnknownChar1374" :1,
"UnknownChar1373" :1,
"UnknownChar1372" :1,
"UnknownChar1371" :1,
"UnknownChar1370" :1,
"UnknownChar1369" :1,
"UnknownChar1368" :1,
"UnknownChar1367" :1,
"UnknownChar1366" :1,
"UnknownChar1365" :1,
"UnknownChar1364" :1,
"UnknownChar1363" :1,
"UnknownChar1362" :1,
"UnknownChar1361" :1,
"UnknownChar1360" :1,
"UnknownChar1359" :1,
"UnknownChar1358" :1,
"UnknownChar1357" :1,
"UnknownChar1356" :1,
"UnknownChar1355" :1,
"UnknownChar1354" :1,
"UnknownChar1353" :1,
"UnknownChar1352" :1,
"UnknownChar1351" :1,
"UnknownChar1350" :1,
"UnknownChar1349" :1,
"UnknownChar1348" :1,
"UnknownChar1347" :1,
"UnknownChar1346" :1,
"UnknownChar1345" :1,
"UnknownChar1344" :1,
"UnknownChar1343" :1,
"UnknownChar1342" :1,
"UnknownChar1341" :1,
"UnknownChar1340" :1,
"UnknownChar1339" :1,
"UnknownChar1338" :1,
"UnknownChar1337" :1,
"UnknownChar1336" :1,
"UnknownChar1335" :1,
"UnknownChar1334" :1,
"UnknownChar1333" :1,
"UnknownChar1332" :1,
"UnknownChar1331" :1,
"UnknownChar1330" :1,
"UnknownChar1329" :1,
"UnknownChar1328" :1,
"UnknownChar1327" :1,
"UnknownChar1326" :1,
"UnknownChar1325" :1,
"UnknownChar1324" :1,
"UnknownChar1323" :1,
"UnknownChar1322" :1,
"UnknownChar1321" :1,
"UnknownChar1320" :1,
"UnknownChar1319" :1,
"UnknownChar1318" :1,
"UnknownChar1317" :1,
"UnknownChar1316" :1,
"UnknownChar1315" :1,
"UnknownChar1314" :1,
"UnknownChar1313" :1,
"UnknownChar1312" :1,
"UnknownChar1311" :1,
"UnknownChar1310" :1,
"UnknownChar1309" :1,
"UnknownChar1308" :1,
"UnknownChar1307" :1,
"UnknownChar1306" :1,
"UnknownChar1305" :1,
"UnknownChar1304" :1,
"UnknownChar1303" :1,
"UnknownChar1302" :1,
"UnknownChar1301" :1,
"UnknownChar1300" :1,
"UnknownChar1299" :1,
"UnknownChar1298" :1,
"UnknownChar1297" :1,
"UnknownChar1296" :1,
"UnknownChar1295" :1,
"UnknownChar1294" :1,
"UnknownChar1293" :1,
"UnknownChar1292" :1,
"UnknownChar1291" :1,
"UnknownChar1290" :1,
"UnknownChar1289" :1,
"UnknownChar1288" :1,
"UnknownChar1287" :1,
"UnknownChar1286" :1,
"UnknownChar1285" :1,
"UnknownChar1284" :1,
"UnknownChar1283" :1,
"UnknownChar1282" :1,
"UnknownChar1281" :1,
"UnknownChar1280" :1,
"UnknownChar1279" :1,
"UnknownChar1278" :1,
"UnknownChar1277" :1,
"UnknownChar1276" :1,
"UnknownChar1275" :1,
"UnknownChar1274" :1,
"UnknownChar1273" :1,
"UnknownChar1272" :1,
"UnknownChar1271" :1,
"UnknownChar1270" :1,
"UnknownChar1269" :1,
"UnknownChar1268" :1,
"UnknownChar1267" :1,
"UnknownChar1266" :1,
"UnknownChar1265" :1,
"UnknownChar1264" :1,
"UnknownChar1263" :1,
"UnknownChar1262" :1,
"UnknownChar1261" :1,
"UnknownChar1260" :1,
"UnknownChar1259" :1,
"UnknownChar1258" :1,
"UnknownChar1257" :1,
"UnknownChar1256" :1,
"UnknownChar1255" :1,
"UnknownChar1254" :1,
"UnknownChar1253" :1,
"UnknownChar1252" :1,
"UnknownChar1251" :1,
"UnknownChar1250" :1,
"UnknownChar1249" :1,
"UnknownChar1248" :1,
"UnknownChar1247" :1,
"UnknownChar1246" :1,
"UnknownChar1245" :1,
"UnknownChar1244" :1,
"UnknownChar1243" :1,
"UnknownChar1242" :1,
"UnknownChar1241" :1,
"UnknownChar1240" :1,
"UnknownChar1239" :1,
"UnknownChar1238" :1,
"UnknownChar1237" :1,
"UnknownChar1236" :1,
"UnknownChar1235" :1,
"UnknownChar1234" :1,
"UnknownChar1233" :1,
"UnknownChar1232" :1,
"UnknownChar1231" :1,
"UnknownChar1230" :1,
"UnknownChar1229" :1,
"UnknownChar1228" :1,
"UnknownChar1227" :1,
"UnknownChar1226" :1,
"UnknownChar1225" :1,
"UnknownChar1224" :1,
"UnknownChar1223" :1,
"UnknownChar1222" :1,
"UnknownChar1221" :1,
"UnknownChar1220" :1,
"UnknownChar1219" :1,
"UnknownChar1218" :1,
"UnknownChar1217" :1,
"UnknownChar1216" :1,
"UnknownChar1215" :1,
"UnknownChar1214" :1,
"UnknownChar1213" :1,
"UnknownChar1212" :1,
"UnknownChar1211" :1,
"UnknownChar1210" :1,
"UnknownChar1209" :1,
"UnknownChar1208" :1,
"UnknownChar1207" :1,
"UnknownChar1206" :1,
"UnknownChar1205" :1,
"UnknownChar1204" :1,
"UnknownChar1203" :1,
"UnknownChar1202" :1,
"UnknownChar1201" :1,
"UnknownChar1200" :1,
"UnknownChar1199" :1,
"UnknownChar1198" :1,
"UnknownChar1197" :1,
"UnknownChar1196" :1,
"UnknownChar1195" :1,
"UnknownChar1194" :1,
"UnknownChar1193" :1,
"UnknownChar1192" :1,
"UnknownChar1191" :1,
"UnknownChar1190" :1,
"UnknownChar1189" :1,
"UnknownChar1188" :1,
"UnknownChar1187" :1,
"UnknownChar1186" :1,
"UnknownChar1185" :1,
"UnknownChar1184" :1,
"UnknownChar1183" :1,
"UnknownChar1182" :1,
"UnknownChar1181" :1,
"UnknownChar1180" :1,
"UnknownChar1179" :1,
"UnknownChar1178" :1,
"UnknownChar1177" :1,
"UnknownChar1176" :1,
"UnknownChar1175" :1,
"UnknownChar1174" :1,
"UnknownChar1173" :1,
"UnknownChar1172" :1,
"UnknownChar1171" :1,
"UnknownChar1170" :1,
"UnknownChar1169" :1,
"UnknownChar1168" :1,
"UnknownChar1167" :1,
"UnknownChar1166" :1,
"Gnome" :1,
"UnknownChar1165" :1,
"UnknownChar1164" :1,
"UnknownChar1163" :1,
"UnknownChar1162" :1,
"UnknownChar1161" :1,
"UnknownChar1160" :1,
"UnknownChar1159" :1,
"UnknownChar1158" :1,
"UnknownChar1157" :1,
"UnknownChar1156" :1,
"UnknownChar1155" :1,
"UnknownChar1154" :1,
"UnknownChar1153" :1,
"UnknownChar1152" :1,
"UnknownChar1151" :1,
"UnknownChar1150" :1,
"UnknownChar1149" :1,
"UnknownChar1148" :1,
"UnknownChar1147" :1,
"UnknownChar1146" :1,
"UnknownChar1145" :1,
"UnknownChar1144" :1,
"UnknownChar1143" :1,
"UnknownChar1142" :1,
"UnknownChar1141" :1,
"UnknownChar1140" :1,
"UnknownChar1139" :1,
"UnknownChar1138" :1,
"UnknownChar1137" :1,
"UnknownChar1136" :1,
"UnknownChar1135" :1,
"UnknownChar1134" :1,
"UnknownChar1133" :1,
"UnknownChar1132" :1,
"UnknownChar1131" :1,
"UnknownChar1130" :1,
"UnknownChar1129" :1,
"UnknownChar1128" :1,
"UnknownChar1127" :1,
"UnknownChar1126" :1,
"UnknownChar1125" :1,
"UnknownChar1124" :1,
"UnknownChar1123" :1,
"UnknownChar1122" :1,
"UnknownChar1121" :1,
"UnknownChar1120" :1,
"UnknownChar1119" :1,
"UnknownChar1118" :1,
"UnknownChar1117" :1,
"UnknownChar1116" :1,
"UnknownChar1115" :1,
"UnknownChar1114" :1,
"UnknownChar1113" :1,
"UnknownChar1112" :1,
"UnknownChar1111" :1,
"UnknownChar1110" :1,
"UnknownChar1109" :1,
"UnknownChar1108" :1,
