"charName","gender","eng_word","eng_syll","eng_char","jap_char","jap_romaji","jap_kana","jap_word","re_word","re_syll","re_char","re_comment","eng","jap","re","RetranslatorComment"
"taban","male","9","9","29","16","27","16","7","9","9","32","16","If you see Lucca, tell her to drop by!","ルッカに会ったら言っといて くれよ。","Tell Lucca I said 'hi' when you see her.","He doesn't actually say WHAT to tell her,  but this makes as much sense as anything."
"taban","male","2","2","9","5","7","5","2","2","2","8","0","Hey, Lucca!","おう！　ルッカ。","Oh! Lucca.",""
"taban","male","13","14","51","35","69","38","14","16","18","65","0","I'd like to see more of her. I've been making items she'd like.","たまには、かお見せろって。 俺はルッカの気に入る防具を せっせと作ってるからな。","Show your face once in a while. I've been hard at work making armors you'd like.",""
"soldier","male","4","6","22","6","11","6","3","7","7","21","0","You're not going anywhere!","逃がすかーッ！","As if we'd let you get away!",""
"SYSTEM","neutral","3","3","15","10","19","10","3","3","3","14","0","It's locked tight…","かたく閉ざされている……。","It's shut tight......",""
"marle","female","10","11","44","26","46","28","10","10","12","49","0","Come on, Crono! I don't wanna see that bullheaded fool!","行こう、クロノ！ あんなわからず屋の父上なんか 会いたくない！","Let's go, Crono! I don't wanna meet that thickheaded father!",""
"soldier","male","2","4","12","12","22","12","4","6","8","24","0","T, Terrorists!!","テ、テロリストいちみだーッ！！","It, it's a gang of terrorists!!",""
"lucca","female","4","4","14","6","11","6","3","3","3","12","0","This is NOT good.","マ、マズいわよ！！","Crap, not good!!",""
"robo","male","4","5","14","7","13","8","4","4","4","13","0","What is going on?!","ナ、何なんデス～！？","WH, what IS this!?",""
"frog","male","3","5","20","6","11","6","2","1","3","10","10","Who, what? Terrorists?!","テロリストお！？","Terrorists!?","Frog has to be in the party here, of course."
"fritz","male","3","3","8","7","10","7","2","2","3","11","0","Come on in!!","へい！　らっしゃい……！！","Hey! Welcome......!!",""
"fritz","male","11","11","39","44","85","48","13","21","23","85","0","Crono!! I owe you one! You saved my skin back there.","クロノさん！！！ あの時は本当にありがとう ございました。 おかげでこうして家にもどることも 出来ました。","Crono-san!!! Seriously, thank you for back then. Thanks to you, I was able to come back home like this too.",""
"fritz","male","37","45","147","124","244","135","30","68","78","257","0","Man, was I up the creek! I went off on a buying trip, and ended up getting jailed with a bunch of thieves! The officials planned to execute me without a trial! What has gotten into them?","まいりましたよ……。 おやじを見返してやろうと思って しいれの旅にでたのはいいんですが…… 帰りの宿で、ごうとうだんのとりものに まきこまれましてね。 いっしょに、つかまってしまった わけなんですよ。 それにしても私の話を聞きもしないで 死刑！　なんですから……、ふう…… ほんとうに助かりましたよ。","I'm beat...... I was thinking I'd outdo my old man, and going on a trip to stock up was all well and good...... But at the inn on the way back, I got caught up in the arrest of a gang of robbers. I got arrested along with them. Besides that, the death penalty, without even listening to my story! Why in the...... phew...... You really saved me.",""
"elaine","female","8","9","36","25","55","32","8","9","9","37","0","We're forever in your debt! Thank you, again!","本当に、本当に ありがとうございました。 私、今しあわせです。","I truly, truly, thank you. I'll be happy now.",""
"fritz","male","11","11","43","28","46","28","7","11","13","44","0","Hope my Dad never hears about this. Get 10 Mid Ethers!","これ、おやじにはないしょで…… ミドルエーテルを10コ手に入れた！！","Keep this secret from my old man...... Got 10 Middle Ethers!!",""
"man","male","2","2","7","3","3","3","2","1","1","4","9","Huh, hey!","ん、んん！","Ahem!","He's probably clearing his throat to get their attention."
"fritz","male","2","2","5","4","6","4","2","2","2","5","0","D, Dad!","お、おやじ！","D, dad!",""
"man","male","2","3","12","13","21","13","2","6","7","37","0","Working hard?","ちゃんと、やってるんだろうな？","You're running things proper-like, right?",""
"fritz","male","5","5","20","8","14","8","4","5","5","20","0","But, of course! R, right?","も、もちろん。な、なあ。","Of, of course. R, right?",""
"elaine","female","2","2","6","3","3","3","2","2","2","8","0","Y, yes.","え、ええ。","Uh, yeah.",""
"man","male","3","3","14","7","10","7","2","3","3","14","0","Well, all right...","まあ、いいだろう……。","Well, all right......",""
"man","male","5","5","20","21","36","21","4","6","6","25","0","Crono... I'm in your debt.","クロノさん……。 ほんとうに、ありがとうございました。","Crono-san...... I truly thank you.",""
"fritz","male","10","12","49","30","60","35","11","16","17","63","0","Now Crono, down to business. Please, buy whatever you like!","さあ、クロノさん。 こっからは商売だ、俺がしいれた物 買っていってくれ。","Well, Crono-san. It's business from here on, go on and buy what I stocked up.",""
"fritz","male","2","4","17","13","13","13","3","3","4","17","0","Welcome,  [member1]!","いらっしゃい！ [pc1]さん。","Welcome! [pc1]-san.",""
"fritz","male","1","1","6","3","5","3","1","2","2","9","0","Thanks!","まいど！！","Come again!!",""
"lara","female","1","1","5","3","6","3","1","1","1","5","0","Crono!","クロノ！！","Crono!!",""
"lara","female","14","17","53","27","50","29","9","13","17","53","13","Crono! You had me so worried! I heard you were to be executed, dear.","クロノ！　クロノ！！ よかった……。 母さん、あんたが死刑になるって 聞いて……","Crono! Crono!! What a relief...... I heard you were going to be executed......","Actually, she's speaking  in third person (your mother heard...), as she usually (always?) does when  addressing Crono."
"lara","female","5","6","21","18","33","21","6","6","6","24","0","Stop scaring me like that!","もう、母さんを心配させるんじゃ ないわよ。","Don't make me worry any more.",""
"lucca","female","1","1","2","11","19","11","3","5","7","25","20","Hi!","こんにちは、ジナおばさん！","Good afternoon, Jina oba-san!","Probably could change this to “Ms. Jina” or maybe “Auntie Jina” if it's understood that she's not actually her aunt."
"lara","female","7","7","28","19","34","21","6","9","10","46","0","Lucca! We hardly see you these days!","おや、ルッカ。 最近、うちにあんまり来ないのね？","Oh, Lucca. You haven't been coming around much lately.",""
"lucca","female","4","4","18","11","25","16","3","6","7","31","0","I've been kinda busy...","最近、研究いそがしくって。","I've been busy with research lately.",""
"lara","female","13","14","49","44","80","46","12","24","28","105","0","Don't let life pass you by, dear! And say «Hi» to your parents!","そう、あんまりガンバリすぎて 体こわさないようにね。 ララとタバンにもよろしく言って ちょうだいな。","Yes, well make sure you don't push yourself too hard and damage your health. Give my best regards to Lara and Taban too, please.",""
"lara","female","8","11","41","9","20","12","4","6","9","26","0","Goodness...! Lucca, is THIS one of your inventions?","あら……、ルッカの発明品？","Oh my..... an invention of Lucca's?",""
"robo","male","8","9","34","39","80","44","19","17","23","81","0","Greetings. I am Robo. Crono is my friend.","お初にお目にかかりマス。 私はロボともうしマス。 クロノには、大変お世話に なっておりマス。","We mEET for the first time. I am calLED Robo. I have reciEVED considerable assistance from Crono.",""
"lara","female","16","19","72","50","91","52","17","20","29","95","0","My, how polite! Strange looking, but well behaved! Crono, you could learn a thing or two.","あらあら、ごていねいに。 ちょっと変わったカッコだけど とっても、れいぎ正しいわね。 クロノも少しは見ならいなさい。","My, my, so courteous. Even though you look a bit peculiar, you're very polite. Crono, follow his example a little.",""
"SYSTEM","neutral","9","9","33","25","31","27","8","9","9","32","0","Go to «Leene Square» 1000 A.D.? Yes. No.","A．D．1000年『リーネ広場』へ 行きますか？ はい いいえ","Go to A.D. 1000, “Leene Square”? Yes No",""
"SYSTEM","neutral","9","10","32","26","38","30","9","11","12","41","0","Go to «Truce Canyon» 600 A.D.? Yes. No.","A．D．600年『トルース村裏山』へ 行きますか？ はい いいえ","Go to A.D. 600, “Truce Village Back Hills”? Yes No",""
"SYSTEM","neutral","9","9","35","27","33","29","9","9","9","34","0","Go to «Guardia Forest» 1000 A.D.? Yes. No.","A．D．1000年『ガルディアの森』へ 行きますか？ はい いいえ","Go to A.D. 1000, “Guardia Forest”? Yes No",""
"SYSTEM","neutral","9","10","32","26","30","27","7","9","9","30","0","Go to «Bangor Dome» 2300 A.D.? Yes. No.","A．D．2300年『バンゴドーム』へ 行きますか？ はい いいえ","Go to A.D. 2300, “Bango Dome”? Yes No",""
"young man","male","11","14","55","76","148","87","19","36","44","175","0","Wearing the «Hero Medal,» the chosen one has appeared! We're saved!","なーに、心配いりません。 勇者のあかしといわれる 『勇者バッジ』をもった方が ついに、あらわれたんです！ これでこの世界にもやっと 平和がかえってきます。 よかった、本当によかった……。","What, there's nothing to worry about. The one holding the “Hero Badge”, said to be proof of the hero, has finally appeared! Now peace will finally come back to this world. Thank goodness, really, thank goodness......",""
"woman","female","12","14","48","38","75","45","14","20","24","85","0","I heard Magus's army is at the bridge. We're in trouble now!","なんでも魔王軍がゼナンの橋まで 来てるって話じゃないか。 一体どうなっちまうのかね。","Word is that Magus's army's come all the to the Zenan Bridge, isn't it? Just what's going to happen now?",""
"man","male","20","23","86","64","130","76","28","28","33","118","0","Have you heard?! The legendary Hero has appeared! He went to see the King. Now Magus's army hasn't a chance!","あんた聞いたかね！ あらわれたんだよ！　ついに！ 伝説の勇者様がねっ！ それで、王様に会うため 城に向かったって話だ。 いやー、これで魔王軍もオシマイだな！","Have you heard?! He's appeared! Finally! The legendary Hero! And they say he headed to the castle to meet the King. Wow, Magus's army is done for now!",""
"young man","male","11","11","41","23","41","26","11","11","11","41","0","They say the King has been wounded! Is this the end?","何でも王も倒れられたって言うし…… もうオシマイかー。","They say even the king has fallen...... Are we done for?",""
"young man","male","8","9","32","24","50","30","9","10","14","52","0","No, the Hero has appeared! He'll save us!","いや伝説の勇者様が現われたから もうだいじょうぶだ！","No, the legendary Hero has appeared, so everything's fine now!",""
"man","male","11","12","43","31","75","43","18","26","29","97","0","Is it true? I heard Magus's army has taken the bridge!","国王軍が前線でやぶれ 魔王軍が橋まで攻めて来てるって 話だが本当か？","Is it true that the royal army was beaten in the front lines and Magus's army is coming to attack as far up as the bridge?",""
"man","male","18","21","78","46","98","59","20","26","29","113","0","I had almost completed the bell when Magus's army wounded our King. I've lost the will to work.","この鐘の完成も近いんだが……。 国王軍が魔王軍にやぶれて ガルディア王も負傷された。 鐘どころじゃねえやな……。","This bell is almost complete, but...... The royal army was beaten by Magus's army, and King Guardia was wounded too. This is no time for BELLS......",""
"young woman","female","12","12","40","50","110","60","25","26","28","102","0","I hope this bell will ring in a new world of peace.","私は、このリーネの鐘が 平和な世になりひびく…… そんな日が来るって信じてるの。 どんな時でも希望は失わないように……。","I hope that this, Leene's Bell, will ring out on a peaceful world...... I believe that such a day will come. May we never lose hope......",""
"knight","male","6","8","31","15","29","17","6","8","10","32","0","Magus's army is awfully well trained!","あとは魔王軍をげきたい出来れば……","Now, if we can just repel Magus's army......",""
"knight captain","male","13","17","63","29","60","35","9","12","15","63","0","Our rations have run out! Have the supplies from Guardia Castle arrived yet?!","食料が底をついてしまった…… ガルディア城からのホキュウはまだか！","The food's bottomed out...... Aren't the supplies from Guardia Castle here yet?!",""
"knight","male","17","23","84","25","61","34","13","12","17","60","0","Forming a protective ring around the Hero, the best knights of the Kingdom kicked off the offensive.","勇者様を守って、騎土団のせいえいが 突撃を開始しました。","Protecting the Hero, the best of the Knights have initiated an assault.",""
"knight","male","21","28","97","30","64","36","13","23","25","91","0","It appears our knights and Magus's troops are locked in battle, at the center of the bridge. May we emerge victorious!","橋のまん中で騎土団と魔王軍が げきとつしたようだ。がんばってくれ……。","It looks as though the Knights and Magus's army have run into each other in the middle of the bridge. Keep at it......",""
"knight","male","12","13","48","26","61","34","10","12","13","49","0","Does the Hero alone have the power to take on Magus's army?","しかし、勇者様一人の力で 魔王軍をうちやぶれるのだろうか？","But can the Hero crush Magus's army with just his own power?",""
"knight","male","13","17","58","31","77","42","15","17","20","76","0","We cannot defeat Magus's army by ourselves. Our only hope is the Hero.","我々の力では、魔王軍に勝てない…… 情けない事だが、勇者様だけがたよりだ。","We can't beat Magus's army with our power...... It's shameful, but our only recourse is the Hero.",""
"knight","male","20","23","88","44","100","58","19","26","27","103","0","I never believed those stories about the Hero and his legendary medal... Now it turns out he's our only hope.","勇者バッジを持った勇者……。 おとぎ話だとばかり思っていた……。 今となっては勇者様の力を信じるしかない。","The hero who holds the Hero Badge...... I always thought it was a fairy tale...... Now there's no choice but to trust in the Hero's power.",""
"knight","male","6","7","26","10","22","14","3","5","5","21","0","Our food supplies have run out.","もう食料がありません……","There's no food any more......",""
"soldier","male","4","4","16","5","11","7","3","3","3","11","0","Oh, it's you again.","何だ、お前か。","Oh, it's you.",""
"soldier","male","13","17","60","33","63","38","8","16","21","76","0","Magus's troops had us cornered but the appearance of the Hero, saved us.","魔王軍におされていたが もう、だいじょぶだ。 勇者様があらわれたんだからな！","We were being pressed by Magus's army, but everything's fine now. For the Hero has appeared!",""
"soldier","male","11","12","38","20","42","26","9","12","12","45","0","Hero? He just went to see the King a moment ago.","勇者様？ 今ここを通って王に会いにいかれたよ。","The Hero? He just now went through here to see the King.",""
"soldier","male","17","21","79","25","57","34","13","13","15","61","0","The Knight Captain has gone to Zenan Bridge. Many of the wounded from there, are resting below.","騎土団長はゼナン橋に行かれた。 下は負傷者でいっぱいだ。","The Knight Captain is at Zenan Bridge. Below, it's full with the wounded.",""
"woman","female","7","7","28","14","23","14","3","6","6","24","0","I'm sorry, the beds are all taken.","すみません、ベッドがいっぱいで……","I'm sorry, the beds are full......",""
"wounded soldier","male","9","10","40","18","40","24","9","11","12","48","3","Even the Knight Captain went to the front lines...","騎土団長まで、前線に行かれたと いうのに……","Even though even the Knight Captain is at the front lines......","...I'm stuck here."
"wounded soldier","male","7","11","39","25","49","30","12","12","17","60","0","Magus has already defeated 3 fierce warriors.","魔王め、ついに3大しょう軍を戦いに とうじて来やがった。","That damn Magus finally threw his three great generals into the battle.",""
"wounded soldier","male","8","9","36","16","41","23","6","10","11","41","0","There's a food shortage on the front lines.","前線の食料もそろそろ底をつくころ……","Food's about to hit bottom on the front lines too......",""
"wounded soldier","male","7","9","34","13","30","17","4","7","8","28","0","Heard something 'bout a hero showing up.","勇者があらわれたって、話だが……","A hero's appeared, or so they say......",""
"wounded soldier","male","1","1","5","2","2","2","1","1","1","5","0","Argh...","うう……","Oohh......",""
"woman","female","11","12","40","16","30","18","5","10","12","40","0","The King's trying his best, too. So snap out of it!","王様もガンバってんだ。 しっかりしな！","The King's doing all he can too. Keep it together!",""
"soldier","male","18","20","74","30","73","45","13","21","23","91","0","The chef's in a snit, trying to get food to the front lines while keeping the King healthy.","料理長は前線へとどける食料と、王に体力を つけようと、大いそがしさ。","Between the food sent to the front lines and trying to recover the king's strength, the Head Cook is very busy.",""
"woman","female","10","10","38","17","33","21","5","9","9","36","0","Hey you, is this food good enough for the King?","あんた、王様のお食事はこれでいいかい？","You there, will this do for the King's food?",""
"woman","female","10","10","38","18","37","20","4","7","7","33","0","We've got to nurse the King back to good health!","王様にはスタミナをつけてもらわなきゃ！","We've gotta build up the King's stamina!",""
"woman","female","10","11","42","17","44","27","8","14","15","55","0","Chef, hurry with the food that goes to Zenan Bridge!","料理長、ゼナン橋への食料も急がないと！","Head Cook, we must hurry with the food that goes to Zenan bridge too!",""
"chef","male","4","4","20","5","11","6","3","3","3","12","0","What? My brother?! He's...","何？　アニキが！？ ……。","What? Big bro!? ..…",""
"chef","male","15","17","70","25","55","30","11","14","19","72","0","That's what you get for thinkin' that you're the only ones fighting for your country!","ヘッ、てめえ達だけで この国を守ってると思ったむくいだ。","Heh, that's what you bastards get for thinking it's just you protecting this country.",""
"maid","female","1","1","3","3","4","3","1","1","1","3","0","Hey!","あんた！","You!",""
"maid","female","4","6","19","26","45","28","6","15","19","72","0","Stop bickering! Grow up!","いつまでも、つまんない意地 はりあってんじゃないよ、男だろ！","Don't keep up this pointless stubborn thing with each other forever, aren't you a man?!",""
"chef","male","6","6","23","11","23","13","6","5","5","21","0","... Pipe down! What do you know?!","…… るせえ！　お前に何がわかる！","...... Shaddup! What do you know!",""
"woman","female","4","4","15","8","18","10","4","4","5","21","0","Men are such fools!","バカだね、男ってな！","They're such idiots, men!",""
"woman","female","13","16","59","30","62","38","10","14","17","65","0","He acts that way, but the chef always worries about the Knight Captain.","ああ言ってますけど、料理長は いつも騎土団長をしんぱいしてますよ。","He talks like that, but the Head Cook always worries about the Knight Captain.",""
"woman","female","11","13","40","26","54","29","6","13","14","47","0","Those two are really looking for a way to make up.","本当は二人とも、なかなおりする きっかけをさがしてるのよ。","The truth is those two are looking for a chance to make up.",""
"chef","male","5","5","17","6","10","6","2","2","2","7","0","Hey, hey, come on now!!","そらそら～ッ！！","Hey, HEY!!",""
"chef","male","1","1","4","4","6","4","2","1","1","5","0","Wait!","「待ちな！","'Wait!",""
"chef","male","4","4","16","14","25","14","4","6","6","23","0","... Take this with you!","ハアハア…… これを持ってってくれ！","haa, haa...... Take this with you!",""
"chef","male","10","10","35","17","33","18","6","8","8","28","0","And, this is for you guys. Take it, will ya.","それから、こいつはお前らにだ。 持ってけ。","And, this is for you guys. Take it.",""
"chef","male","10","11","40","9","17","9","4","7","8","26","0","And tell that fool... He had better come back alive!","それから、あのバカに","And, tell that idiot this for me",""
"real chancellor (600AD)","male","18","23","80","52","107","61","25","25","30","108","0","Sir Crono! The legendary Hero has finally appeared! He just arrived a moment ago, to meet the King.","おお、クロノどの！ ついに伝説の勇者様が姿を あらわしたのじゃ！ つい先ほど、ここに立ち寄られ 王に会いに行かれましたぞ。","Ohh, Crono-dono! The legendary Hero has finally made his appearance! Just a short time ago, he visited here and went to see the king.",""
"knight","male","9","14","41","13","24","14","5","7","8","28","11","The King was injured, and is recuperating in bed.","王は、お部屋でねこまれている。","The King is bedridden in his room.","No mention of why, but other characters explain that well  enough."
"knight","male","9","9","35","25","47","27","9","14","16","61","0","Queen Leene has been at his side all night.","リーネ様も王の部屋で、ねずのかんびょうを しておられる。","Leene-sama, too, is in the King's room, looking after him all night long.",""
"knight","male","24","26","103","77","167","94","34","39","51","184","43","The King fought bravely against Magus's troops. Had he not heard of the arrival of the Hero, he might have fought to the death!","おいたわしや！　王は魔王軍を前に みずから剣をとり戦ったのです。 もし伝説の勇者様が現れたという 知らせを受けなければ、王は引かずに あのまま戦死されていたやも知れません。","How terrible! The king took up his sword and personally battled Magus's army earlier. Had we not received word that the legendary Hero had appeared, the king might have kept on without falling back, and fought to the death.","Meaning of first  sentence guessed based on context. Google turns up plenty of results for that  exclamation, but I couldn't find a single one that gives any explanation. It  might be some kind of joke-fad line like the 'all your base' insanity."
"knight","male","21","24","87","75","171","94","31","38","51","163","0","I'm so ashamed... I treated him badly, thinking he was just some brat. Luckily, he forgave me. A hero, HE IS.","私は自分がはずかしい……。 はじめ、あのお方を勇者様とは気付かず ただのこぎたないガキだと思って しかし私は許されました。 なんと心の広い人物でしょう。 さすがは勇者様です。","I am ashamed of myself...... I'm afraid that at first, not realizing that person was the Hero and thinking he was just a filthy However, I was forgiven. What a generous personage. It is as befits the Hero.",""
"woman","female","8","9","37","20","38","21","6","10","13","49","43","At this rate, Queen Leene will also succumb.","このままではリーネ様も、まいって しまいます。","At this rate, Leene-sama will collapse of exhaustion too.","Based on context, this  seems to be about right. The verb is very vague, and while the basic meaning  is 'go' or 'come', it's also used in all sorts of more idiomatic ways,  including being beaten, falling for someone, or being dead tired."
"king guardia xxi","male","36","44","159","82","186","106","40","52","63","212","0","Oh, Crono... I've let down my kingdom. Since we cannot locate Cyrus, our sole hope rests on the boy who has the hero medal... He searches the southern continent, for the sword that can defeat Magus.","おお、クロノ。 もう、私も年老いたかな……。 サイラスの消そくが、つかめぬ以上 あのバッジを持った少年こそ 残されたゆいいつの希望……。 少年は、魔王を倒せる伝説の剣を もとめて南の大陸へ向かったよ。","Ohh, Crono. I wonder if I have grown old already...... As long as we are unable to catch hold of any news of Cyrus, it is that boy who holds the who is our sole remaining hope...... The boy headed for the southern continent, seeking the legendary sword that can beat Magus.",""
"queen leene","female","8","8","28","24","48","27","7","7","7","27","0","Cyrus must have sent the boy to us.","きっとサイラスが、あの少年をよこして くれたのですわ。","Surely Cyrus sent that boy to us.",""
"knight","male","9","12","45","21","48","27","9","10","14","47","0","Mere mortals can never expect to beat Magus's troops.","やはり人間の力では、魔王軍には かなわないのか……","Can we really not handle Magus's army with human power......?",""
"knight","male","16","18","75","40","84","47","14","16","20","75","0","The Hero has made it across the bridge somehow, but our troops have suffered heavy losses.","勇者様は、何とか橋をわたりました。 しかしわが軍は、大きないた手をこうむって しまいました……","The Hero crossed the bridge somehow. But I'm afraid our army suffered a very serious blow......",""
"knight","male","1","1","5","2","2","2","1","1","1","5","0","Aaagh!","うう……","Uggh......",""
"knight captain","male","8","11","38","27","55","32","14","15","19","68","0","Magus's army has the advantage now. Keep back!","魔王軍が 新手をくり出して来た。 今は危険だ。　下がっていなさい。","Magus's army has sent out a fresh supply of troops. It's dangerous now. Stay back.",""
"knight captain","male","8","8","27","26","63","37","10","13","13","50","0","Sir Crono! Is that for us? Yes. No.","クロノ殿、何事かな？ 料理長の食料をわたしますか？ はい いいえ","Crono-dono, what is it? Give him the Head Cook's food? Yes No",""
"knight captain","male","9","10","34","13","23","13","4","5","5","15","0","Food rations! The cook...he has saved us all!","こ、これは！？ そうですか、あいつが……","Th, this!? I see, he......",""
"knight captain","male","14","14","50","19","47","25","9","10","11","42","0","Sir Crono, if I do not make it back... ...give my brother my thanks...","クロノ殿、もし私がここで 死んだならば、弟に……","Crono-dono, if I die here, tell my little brother......",""
"knight captain","male","5","6","18","3","10","5","2","3","4","13","0","WHAT is going on here?!","何事だ！！","What's going on!!",""
"knight","male","11","15","66","23","49","28","8","10","13","47","0","Magus's troops have launched an attack! They're breaking through our defenses!!!","魔王軍の攻撃が始まりました！ もうささえきれません！","Magus's army's attack has begun! We can't hold any longer!",""
"knight captain","male","21","24","96","35","73","42","11","13","15","61","0","Stop sniveling! It shames the Knights of the Square Table! We shall DESTROY Magus's troops and bring honor to our King!","弱音をはくな！ ガルディア王国騎土団のめいよにかけ 魔王軍をげきたいするのだ！","Don't whine! On the honor of the Guardia Royal Knights, repel Magus's army!",""
"knight","male","5","7","23","10","22","12","7","8","11","35","0","But, we are far outnumbered!","し、しかし、もう兵の数が……。","B, but, the number of soldiers is already......",""
"knight captain","male","13","14","48","25","49","28","8","12","13","46","0","This is our last line of defense. We must let no one through!","ここが最後の防えい線なのだ。 もうひとがんばりしてくれ！","This is our last line of defense. Hold out a while longer!",""
"knight","male","1","3","10","6","12","6","1","1","3","10","0","Understood!","わかりました！","Understood!",""
"knight captain","male","13","16","61","37","74","42","13","21","28","91","0","Our troops are suffering greatly. Sir Crono, will you assist us? Yes. No.","ごらんのとおり、我が軍は 苦戦しております…… クロノ殿、助太刀願えませぬか？ はい いいえ","As you can see, our army is fighting a difficult battle...... Crono-dono, may I not implore your assistance? Yes No",""
"knight captain","male","18","20","78","48","98","54","17","24","26","91","0","We are eternally in your debt! You will find Magus's troops across the bridge! Take this with you!","かたじけない！　魔王軍は 橋の向こうのたもとにおります！ これをお持ち下さい。 きっとクロノ殿のお役にたつはず。","We are grateful! Magus's army is at the far foot of the bridge! Please take this. It should surely be of use to you.",""
"knight captain","male","10","11","50","21","45","25","9","12","15","47","0","Magus's troops are highly trained. Please be on your guard.","魔王軍は手強い敵です。 くれぐれもお気をつけて。","Magus's army is a tough foe. I insist that you be careful.",""
"knight captain","male","19","24","81","37","79","44","15","20","22","79","0","I see... We Knights of the Square Table cannot surrender. We shall hold this position to the last man!","そうですか……。 だが我等もガルディア王国騎土団。 メンツにかけてこの橋は死守しますぞ！","I see...... Be we are the Knights of Guardia Kingdom. Upon our honor, we will defend this bridge to the",""
"ozzie","male","15","19","63","40","77","47","17","21","33","108","0","I'm Ozzie, Magus's top general! Those who dare defy Magus have to answer to me!","ワシは、魔王様だいいちの部下 魔王3大しょうぐんの、ビネガー。 いだいなる魔王様の敵に、死を！","I am Magus-sama's foremost subordinate, Vinnegar of Magus's Three Great Generals. Death to the enemies of the great Magus-sama!",""
"ozzie","male","9","10","33","25","49","27","8","7","9","33","0","Yes my children... Give 'em a taste of doom!","ワシのかわいいムスコ達よ！ こやつらに死をあたえるのだ！","My dear children! Confer death upon them!",""
"ozzie","male","6","7","34","10","17","10","2","5","7","25","0","Those wimps're stronger than I thought.","くう～、なかなかやるな。","Khuu, better than I expected.",""
"marle","female","3","4","14","8","14","8","2","2","2","6","0","Wait up, already!","待ちなさいったら！","Wait up!",""
"lucca","female","9","10","40","11","22","12","3","7","8","32","0","He's pretty swift when it comes to running away.","逃げ足だけははやいわね。","You're fast at running away, at least.",""
"robo","male","3","3","12","7","12","7","3","4","4","15","0","We've got him.","追いつきマシタ。","We HAVE caught up.",""
"ozzie","male","10","11","39","31","64","39","10","17","18","65","0","Seems I misjudged you. But I won't do that twice!","少々、お前達をあまく 見すぎていたようだ。 しかし、今度はそうはいかんぞ。","It looks as though I took you a bit too lightly. But that won't happen this time.",""
"ozzie","male","3","4","18","5","11","6","2","3","3","11","0","Grrrr! You're through!","殺っちまえ！","Kill them off!",""
"ozzie","male","1","1","4","5","8","5","1","1","2","6","0","Drat!","ちくしょー！","Dammit!",""
"ozzie","male","5","6","25","20","41","24","9","12","12","45","0","That's IT! Now you're finished!","こ、今度こそお前達も おしまいだぞ！　ホントだぞ！","Th, this time for sure, it'll be over for you too! Really!",""
"marle","female","9","10","40","18","36","19","9","10","15","52","0","Don't mess with Crono, or you'll really be sorry!","何よ！ クロノをナメると イタイ目見るわよ！","What's your problem! Underestimate Crono and you'll pay for it!",""
"lucca","female","3","3","14","8","14","8","3","5","5","22","0","Poor sport, huh?","ふん、負けおしみね。","Hmph, you're a poor loser.",""
"robo","male","7","10","33","21","37","21","6","5","7","26","0","You cannot win. You had best surrender.","アナタに勝ち目はありマセン。 コウフクシナサイ。","YOU have NO chance. SURRENDER.",""
"ozzie","male","6","10","30","22","43","25","6","7","11","40","0","Go Zombor! Crush Sir Magus's enemies!","ゆけ、ジャンクドラガー！ 魔王様の敵をたたきのめせ！","Go, Junkdragar! Take down Magus-sama's enemies!",""
"knight captain","male","18","22","77","50","111","60","22","25","32","103","0","Thanks to Sir Crono, we held the bridge! But, unless we defeat Magus, this is an empty victory.","クロノ殿のおかげで 橋を守りきる事が出来ました。 しかし、魔王を倒さない事には こんぽん的な解決にはなりません。","Thanks to you, we were able to protect the bridge to the end. But there will be no overall resolution unless we can beat Magus.",""
"knight","male","8","9","36","36","77","41","14","18","20","77","0","We held Zenan Bridge with Sir Crono's help.","ゼナンの橋を魔王軍から とりもどす事ができました。 これもクロノ殿のおかげです。","We were able to take back Zenan Bridge from Magus's army. This, too, is thanks to Crono-dono.",""
"woman","female","10","11","35","31","53","33","5","9","11","41","6","Welcome, what can I do for you? Thanks a lot!","いらっしゃいまーしい。 今日はどんなごようで？ まいど、ありあとやしたー！","Welcome. What do you need today? Y'all come again!","well, she DOES have an accent..."
"woman","female","11","14","50","48","99","56","11","19","25","88","0","The Hero has appeared? That means the epic battle will begin!","伝説の勇者様があらわれたんだって？ いよいよ歴史にのこるような 戦いのひぶたが きっておとされるのかねえ……。","The legendary Hero has appeared? Could that mean a battle to make history is finally going to be sparked......?",""
"little boy","male","13","15","54","38","71","41","12","17","22","78","0","Mom said I can't play outside 'cause of the monsters. I'm so bored!","魔物達がね、いっぱいいてね あぶないから、外に出ちゃダメだって。 チェッ、つまんないよー。","There's lots of monsters. They say I can't go outside cause it's dangerous. Tch, bo-o-oring.",""
"woman","female","11","14","54","60","126","71","19","23","39","128","0","I heard Magus knows arcane magic which the monsters can't match.","なんでも魔王は、失われた太古の魔術を あやつるという話よな。 そこいらの魔物どもの術など くらべものにならぬ おそろしいものだそうな。","The word is that Magus commands ancient lost magical arts. Supposedly it's something terrifying, incomparable to the arts of the monsters around here.",""
"young woman","female","12","14","56","52","105","57","18","23","27","109","0","Oh! Where could Sir Cyrus be? Surely he hasn't deserted the kingdom?","ああ、騎土サイラス様は どこへ行かれてしまったのでしょう？ まさか…… 王国を見すて、一人でどこかへ 逃げてしまわれたとか……？","Aaah, where has the knight Cyrus-sama gone? Don't tell me...... He can't have abandoned the kingdom and run away by himself somewhere......?",""
