"GOTO" :36713,
"Male Tranquil 2 amongst abominations" :4,
"Male Tranquil amongst abominations" :4,
"Panicked Servant" :4,
"Generic Howe Soldier" :4,
"Gambling Guard 2 (Highever)" :4,
"Templar Guarding Level 2 Stairs" :4,
"Female Mage 2 (Senior Quarters)" :4,
"Male Apprentice discussing blood magic" :4,
"Male Human Mage Apprentice 3" :4,
"Male Human Mage Apprentice 2" :4,
"Male Human Mage Apprentice 1" :4,
"Female Human Mage Apprentice 1" :4,
"Female Elf Mage Apprentice" :4,
"Dalish Child (Sabrae)" :4,
"Off-Duty Guard 3 (Arl of Denerim Estate)" :4,
"Nola" :4,
"Mother Boann" :4,
"Orzammar Prison Guard" :4,
"Grey Warden 1 (Orzammar)" :4,
"Magic Merchant" :4,
"Male Proving Fan 3" :4,
"Male Proving Fan 2" :4,
"Male Proving Fan 1" :4,
"Female Proving Fan 3" :4,
"Female Proving Fan 2" :4,
"Female Proving Fan 1" :4,
"Dwarven Male 5 (Tapsters)" :4,
"Dwarven Male 4 (Tapsters)" :4,
"Dwarven Male 3 (Tapsters)" :4,
"Dwarven Male 2 (Tapsters)" :4,
"Dwarven Male 1 (Tapsters)" :4,
"Dwarven Female 2 (Tapsters)" :4,
"Dwarven Female 1 (Tapsters)" :4,
"Dwarven Male 3 (Commons)" :4,
"Dwarven Female 4 (Commons)" :4,
"Returning Redcliffe Man" :4,
"Returning Redcliffe Woman" :4,
"Refugee Child (Redcliffe)" :4,
"Grim Guard" :4,
"Grave Digger" :4,
"Orzammar Statue 9" :3,
"Orzammar Statue 5" :3,
"Orzammar Statue 4" :3,
"Orzammar Statue 3" :3,
"Dwarf Subordinate" :3,
"Dead Apprentice" :3,
"Scared Villager" :3,
"Melora" :3,
"Female Refugee (Jowan's Intention)" :3,
"Old Tegrin" :3,
"Bannorn Knight (Loghain's Push)" :3,
"Mage Apprentice 2 (Roadside)" :3,
"Mage Apprentice 1 (Roadside)" :3,
"Werewolves" :3,
"Elves" :3,
"Old Man (Crater)" :3,
"Templar 2 (Ostagar)" :3,
"Soldier on the Road (Ostagar)" :3,
"Male Elf Soldier (Ostagar)" :3,
"Female Elf Soldier (Ostagar)" :3,
"Soldier guarding army camp" :3,
"Ostagar Soldier 2" :3,
"Ostagar Soldier 1" :3,
"Ostagar Soldier" :3,
"Male Elf Servant 1 (Ostagar)" :3,
"Female Elf Servant 1 (Ostagar)" :3,
"Ash Warrior 2" :3,
"Jarvia Supporter" :3,
"House Harrowmont Female Noble 2" :3,
"House Harrowmont Female Noble 1" :3,
"Lady Brodens" :3,
"Royal Palace Guard (Orzammar)" :3,
"Dwarven Noblewoman (Diamond Quarter)" :3,
"Hopeful Noble" :3,
"Orzammar Guard 2 (Diamond Quarter)" :3,
"Female Dwarf 2 (Proving Arena)" :3,
"Tapsters Waitress 2" :3,
"Tapsters Waitress 1" :3,
"Female Dwarf 2 (Tapsters)" :3,
"Female Dwarf 1 (Tapsters)" :3,
"Tapsters Reveler 1" :3,
"Pro-Bhelen Warrior" :3,
"Cavein warning" :3,
"Old Woman (Hall of Heroes)" :3,
"Orzammar Guard (Exit to Frostback)" :3,
"Dwarven Leader" :3,
"Male Elf Hunter (Uncle)" :3,
"Elf Child" :3,
"Male Musician (Lothering)" :3,
"Ser Varal" :3,
"Denerim Mercenary" :3,
"Tunnelers" :3,
"Fade Beast" :3,
"Generic Guard (Bann Franderel)" :3,
"Eerie Elf Child Wisp 2" :3,
"Eerie Elf Child 2" :3,
"Denerim City Guard (Back Ally 2)" :3,
"Off-Duty Guard Walking 2" :3,
"Flirtatious Guard" :3,
"Flirtatious Servant" :3,
"Craftsman" :3,
"Kennel Guard (Fort Drakon)" :3,
"Tevinter Soldiers (Generic)" :3,
"Feral Dog" :3,
"Elven Thug 2" :3,
"Tranquil Proprietor" :3,
"Servant (Denerim Estate)" :3,
"Housekeeper (Denerim Estate)" :3,
"Denoel" :3,
"Lady's Maid" :3,
"Cristof" :3,
"Ruffian 1" :3,
"Habren" :3,
"Cheering Soldier 3" :3,
"Cheering Soldier 2" :3,
"Cheering Soldier 1" :3,
"City Gate Messenger" :3,
"Complaining Mage 1" :3,
"Blood Mage 5 (Circle Tower)" :3,
"Wounded Templar" :3,
"Wounded Mage" :3,
"Templar 1 (Circle Tower)" :3,
"Fearful Man" :3,
"Fearful Woman" :3,
"Highever Guard 3" :3,
"Highever Guard 2" :3,
"Highever Guard" :3,
"Male Kitchen Servant" :3,
"Tranquil Male 1" :3,
"Male Mage 1 (Senior Quarters)" :3,
"Female Mage 1 (Senior Quarters)" :3,
"Female Human Mage Apprentice 1 (dormitory)" :3,
"Female Human Mage Apprentice 2" :3,
"Male Elf Mage Apprentice" :3,
"Human Scavenger 1" :3,
"Noble Dwarf Man Chatting" :3,
"Male Beggar 4 (Duster)" :3,
"Female Beggar 4 (Duster)" :3,
"Orzammar Statue 8" :2,
"Horned One" :2,
"Valazz" :2,
"Cruel Torturer" :2,
"Ambushing Woman (Zevran)" :2,
"Trial Altar" :2,
"Male Refugee (Jowan's Intention)" :2,
"Templars (Random Encounter)" :2,
"Loghain Sergeant (Loghain's Push)" :2,
"Hungry Bandit" :2,
"The Magnificent Gaider" :2,
"Petulant Grobnard" :2,
"Demanding Grobnard" :2,
"Circle Mage (Ostagar)" :2,
"Female Ostagar Soldier" :2,
"Legionnaire 3" :2,
"Legionnaire 2" :2,
"Legionnaire 1" :2,
"Deshyr 3" :2,
"Lady Tercy Harrowmont" :2,
"Tunneling Thief" :2,
"Male Shaperate Scribe" :2,
"Male Shaperate Cataloger" :2,
"Female Shaperate Scribe" :2,
"Female Shaperate Cataloger" :2,
"Orzammar Guard 4 (Diamond Quarter)" :2,
"Orzammar Guard 3 (Diamond Quarter)" :2,
"Hanashan" :2,
"Orzammar Guard (Proving Arena) 2" :2,
"Orzammar Guard (Proving Arena) 1" :2,
"Orzammar Chantry Worshipper 2" :2,
"Orzammar Chantry Worshipper 1" :2,
"Carta Doorman" :2,
"Tapsters Reveler 2" :2,
"Deep Roads Guard 3" :2,
"Deep Roads Guard 2" :2,
"Orzammar Guard 5 (Commons)" :2,
"Orzammar Guard 4 (Commons)" :2,
"Orzammar Guard 3 (Commons)" :2,
"Orzammar Guard 2 (Commons)" :2,
"Young Girl (Hall of Heroes)" :2,
"Drunk Dwarf" :2,
"Tombstone" :2,
"Bartender (Gnawed Noble Tavern)" :2,
"Chantry Brother 3 (Chant of Light)" :2,
"Chantry Brother 2 (Chant of Light)" :2,
"Chantry Brother 1 (Chant of Light)" :2,
"Defusing Templar (Lothering)" :2,
"Accused Chasind" :2,
"Shivs" :2,
"Lee Bloodrake" :2,
"Sal the Grinder" :2,
"Harrowmont's Guard" :2,
"Market Patron 2" :2,
"Market Patron 1" :2,
"Gazarath" :2,
"Hooded Courier (Run-down Back Street)" :2,
"Hooded Courier in the Pearl" :2,
"Hooded Courier in the Alienage" :2,
"Hooded Courier (Dark Alley)" :2,
"Hooded Courier in the Marketplace" :2,
"Templar Inquisitor" :2,
"Warning Servant" :2,
"Child (retrieved by dog)" :2,
"House Soldier 2 (Bann Franderel)" :2,
"Tormented Woman Ghost" :2,
"Moustached Noble" :2,
"Walking Off-Duty Guard 3" :2,
"Walking Off-Duty Guard 2" :2,
"Off-Duty Guard Walking 1" :2,
"Stonemason" :2,
"Blood Mage Leader (Last Request)" :2,
"Elven Thug 1" :2,
"Friends of the Grey Wardens Poster" :2,
"Crimson Oars Flunky 3" :2,
"Crimson Oars Flunky 2" :2,
"Crimson Oars Flunky 1" :2,
"Ruffian 2" :2,
""Beggar"" :2,
"Palace Defender" :2,
"Dwarf Soldier 2" :2,
"Dwarf Soldier 1" :2,
"Vereveel" :2,
"Crazy Mage 3" :2,
"Crazy Mage 1" :2,
"Mage Instructor" :2,
"Desire Demon charming templars" :2,
"Blood Mage 4 (Circle Tower)" :2,
"Blood Mage 3 (Circle Tower)" :2,
"Templar 2 (Circle Tower)" :2,
"Thankful Mage" :2,
"Thankful Mage 2" :2,
"Circle Tower Memorial" :2,
"Librarian" :2,
"Howe Guard 2" :2,
"Tranquil Male 2" :2,
"Tranquil Female 2" :2,
"Tranquil Female 1" :2,
"Male Mage in New Quarters" :2,
"Male Human Mage Apprentice 3 (Classroom)" :2,
"Male Mage 2 (Senior Quarters)" :2,
"Other Male Apprentice discussing blood magic" :2,
"Guard 2 (Arl of Denerim Estate)" :2,
"Guard 4 (Arl of Denerim Estate)" :2,
"Lord Braden" :2,
"Male Palace Servant 3 (Orzammar)" :2,
"Male Palace Servant 2 (Orzammar)" :2,
"Male Palace Servant 1 (Orzammar)" :2,
"Female Palace Servant 3 (Orzammar)" :2,
"Female Palace Servant 2 (Orzammar)" :2,
"Female Palace Servant 1 (Orzammar)" :2,
"Grey Warden 2 (Orzammar)" :2,
"Beraht's Thug 1" :2,
"Male Beggar 3 (Duster)" :2,
"Male Beggar 2 (Duster)" :2,
"Male Beggar 1 (Duster)" :2,
"Female Beggar 3 (Duster)" :2,
"Female Beggar 2 (Duster)" :2,
"Female Beggar 1 (Duster)" :2,
"Proving Basin" :2,
"Dwarven Male 4 (Commons)" :2,
"Dwarven Male 2 (Commons)" :2,
"Dwarven Male 1 (Commons)" :2,
"Dwarven Female 3 (Commons)" :2,
"Dwarven Female 2 (Commons)" :2,
"Dwarven Female 1 (Commons)" :2,
"Redcliffe Castle Hall Guard" :2,
"Old Man talking to daughter (Redcliffe)" :2,
"Little Girl's Mum (Redcliffe Chantry)" :2,
"Orzammar Statue 7" :1,
"Orzammar Statue 6" :1,
"Orzammar Statue 2" :1,
"Orzammar Statue 1" :1,
"Cultist Reverent" :1,
"Ancient Altar" :1,
"Bridge Puzzle Inscription" :1,
"Redcliffe Knight Corpse (Haven)" :1,
"Nuada" :1,
"Grumpy Bandit" :1,
"Female Refugee (Desperate Haven)" :1,
"Refugee Boy (Desperate Haven)" :1,
"Male Refugee (Desperate Haven)" :1,
"Redcliffe Soldier (Roadside Field)" :1,
"Werewolf (Wooded Highway)" :1,
"Elven Scout (Rocky Road)" :1,
"Dwarven Soldier (Winding Road)" :1,
"Excitable Grobnard" :1,
"Dirty-Minded Grobnard" :1,
"Revered Mother (Ostagar)" :1,
"Ostagar Audience 2" :1,
"Ostagar Audience 1" :1,
"Ostagar Audience" :1,
"Jarvia's Thug 2 (Abandoned House)" :1,
"Dust Town Thug 2" :1,
"Patrolling Dwarf (Dust Town)" :1,
"Dust Town Thug Leader" :1,
"Shaper" :1,
"Deshyr 6" :1,
"Varia" :1,
"Harrowmont Supporter 2" :1,
"Bhelen Supporter 2" :1,
"Fixer Gredin" :1,
"Roggar's Thug" :1,
"Warden Hunter" :1,
"Belligerent Dwarf" :1,
"Sarcastic Dwarf" :1,
"Female Musician (Lothering)" :1,
"Red-headed Chantry Sister (Lothering)" :1,
"Arl Foreshadow" :1,
"Cam of Redside" :1,
"Brian" :1,
"Skinny Frank" :1,
"K" :1,
"K's Lieutenant" :1,
"D's Lieutenant" :1,
"D" :1,
"Altar of Sundering" :1,
"Shady Thug 2" :1,
"Shady Thug 1" :1,
"Young Pickpocket" :1,
"Hired Mercenary (Cut)" :1,
"Nan (Alienage)" :1,
"Crow-Affiliated Noble" :1,
"Walking Off-Duty Guard 1" :1,
"Prison Guard (AoD Estate)" :1,
"Baedon (Scullion)" :1,
"Estan (Scullion)" :1,
"Guard on Upper Watch (Arl of Denerim Estate)" :1,
"Patrolling Denerim Soldier (Arl of Denerim Estate)" :1,
"Blood Mage 1 (Last Request)" :1,
"Blood Mage 2 (Last Request)" :1,
"Elven Thug 3" :1,
"Waitress 1 (Gnawed Noble Tavern)" :1,
"Carela (Undercook)" :1,
"Helena (Undercook)" :1,
"Chanter Farrah" :1,
"Husky Dwarf (Dwarf Companion in Drag)" :1,
"Warden (Fade)" :1,
"Chantry Priest 3 (Fade)" :1,
"Chantry Priest 2 (Fade)" :1,
"Chantry Priest 1 (Fade)" :1,
"Crazy Mage 2" :1,
"Crazy Cook" :1,
"Complaining Mage 2" :1,
"Mage Instructor 2" :1,
"Crazy Chef" :1,
"Abomination (Uldred Confrontation)" :1,
"Elite Abomination (Circle Tower)" :1,
"Female Tranquil amongst abominations" :1,
"Blood Mage 1 (Circle Tower)" :1,
"Howe Soldier" :1,
"Squire 2 (Highever)" :1,
"Praying Guard (Highever)" :1,
"Human Scavenger 3" :1,
"Guard 1 (Arl of Denerim Estate)" :1,
"Elf Woman (Alienage)" :1,
"Meino's Guard" :1,
"Mandar Dace" :1,
"Aller Bemot" :1,
"Ser Blackstone" :1,
"Orzammar Palace Servant" :1,
"Diamond Quarter Merchant 6" :1,
"Diamond Quarter Merchant 5" :1,
"Diamond Quarter Merchant 4" :1,
"Diamond Quarter Merchant 3" :1,
"Diamond Quarter Merchant 1" :1,
"Noble Dwarf Woman Chatting" :1,
"Beraht's Thug 2" :1,
"Adalbo" :1,
"Lenka" :1,
"Carta Thug 3" :1,
"Carta Thug 2" :1,
"Carta Thug 1" :1
